comment,sentiment_score,usefulness_score,usefulness_mentioned
boring. still confused gaming clip,-0.33,0.18,1
boring car mod,-0.78,0.1,0
very entertaining. saved me time comedy skit,0.52,0.84,1
this is gold. very helpful budget meal,0.83,0.8,1
okay i guess garden tour,-0.05,0.53,0
lifechanging tip! love the gaming clip,0.64,0.83,0
decent. somewhat useful for travel hack,-0.01,0.61,1
impressive work! love the college vlog,0.59,0.93,0
clickbait. didnt learn anything life hack,-0.41,0.28,1
waste of time college vlog,-0.46,0.3,0
this made my day. practical tip hair tutorial,0.91,0.93,1
kinda useful language lesson,0.07,0.52,0
i learned a lot. this helped a lot motivation,0.51,0.99,1
cringe science experiment,-0.53,0.28,0
low effort gaming clip,-0.21,0.07,0
chefs kiss! love the music cover,0.62,0.95,0
inspiring. practical tip dance,0.8,0.83,1
inspiring! love the travel vlog,0.53,0.88,0
hilarious! love the basketball highlight,0.6,0.95,0
inspiring! love the study tips,0.91,0.99,0
not bad asmr,0.28,0.56,0
wholesome. i learned something new fashion haul,0.96,0.72,1
amazing content! love the life hack,0.78,0.96,0
kinda useful. somewhat useful for nail art,0.17,0.62,1
clickbait. not useful ai demo,-0.92,0.04,1
decent. somewhat useful for history fact,0.24,0.62,1
wholesome. taking notes resume tips,0.78,0.99,1
not bad home decor,0.19,0.61,0
interesting asmr,-0.2,0.66,0
thanks for sharing tutorial,0.19,0.54,0
mixed feelings ai demo,0.13,0.66,0
loved this. saved me time movie recap,0.59,0.97,1
this is gold. exactly what i needed productivity,0.73,0.79,1
confusing science experiment,-0.8,0.29,0
thanks for sharing nail art,0.12,0.68,0
overhyped asmr,-0.71,0.39,0
kinda useful. somewhat useful for language lesson,-0.16,0.64,1
decent car mod,0.04,0.57,0
brilliant! love the college vlog,0.9,0.79,0
crystal clear. this helped a lot product review,0.5,0.89,1
okay i guess. somewhat useful for cooking fail,-0.06,0.55,1
too slow. this wont work prank,-0.39,0.1,1
solid advice. super useful ai demo,0.66,0.84,1
misleading crypto explainer,-0.52,0.06,0
well explained. explained so well cat video,0.71,0.72,1
genius idea. practical tip home decor,0.99,0.91,1
terrible explanation. no real tips dance,-0.67,0.02,1
genius idea. i can finally do this movie recap,0.7,0.84,1
lifechanging tip. taking notes coding,0.84,0.74,1
annoying. still confused basketball highlight,-0.88,0.03,1
boring workout,-0.71,0.25,0
genius idea. this helped a lot book review,0.69,0.98,1
confusing. still confused language lesson,-0.73,0.06,1
thanks for sharing tutorial,0.2,0.42,0
thanks for sharing music cover,0.14,0.32,0
well explained. i learned something new mindfulness,0.99,0.92,1
confusing. didnt explain the why workout,-0.95,0.06,1
solid advice. i can finally do this photography,0.72,0.88,1
this is gold! love the parenting tip,0.5,0.62,0
confusing. not useful nail art,-0.87,0.14,1
impressive work! love the gaming clip,0.81,0.9,0
not bad music cover,0.26,0.36,0
decent. kinda helpful for tech unboxing,0.01,0.45,1
too fast. missing steps cat video,-0.78,0.13,1
too fast. this wont work parenting tip,-0.64,0.16,1
confusing. zero value coding,-0.47,0.05,1
waste of time. not useful college vlog,-0.28,0.17,1
thanks for sharing. somewhat useful for comedy skit,0.0,0.48,1
interesting asmr,0.28,0.65,0
this is gold. explained so well photography,0.78,0.77,1
i learned a lot. this helped a lot college vlog,0.85,0.94,1
interesting finance advice,0.25,0.33,0
could be better. kinda helpful for cooking fail,0.1,0.42,1
clickbait cooking fail,-0.4,0.28,0
crystal clear! love the comedy skit,0.44,0.81,0
impressive work. i can finally do this productivity,0.84,0.76,1
thanks for sharing tech unboxing,-0.13,0.55,0
okay i guess nail art,-0.13,0.7,0
i learned a lot. i learned something new resume tips,0.54,0.94,1
i learned a lot. helped me fix it hair tutorial,0.97,0.83,1
ill try this gaming clip,-0.02,0.66,0
interesting dance,-0.06,0.41,0
mixed feelings music cover,0.03,0.54,0
interesting. kinda helpful for workout,0.21,0.41,1
cute!. practical tip tutorial,0.59,0.71,1
inspiring. taking notes art timelapse,0.81,0.93,1
interesting travel hack,0.25,0.37,0
lifechanging tip. taking notes car mod,0.85,0.84,1
low effort crypto explainer,-0.31,0.13,0
annoying. didnt explain the why photography,-0.51,0.2,1
loved this. i learned something new knitting,0.67,0.79,1
genius idea. useful for beginners ai demo,0.62,1.0,1
cringe. still confused home decor,-0.38,0.22,1
ill try this resume tips,0.07,0.3,0
hmm history fact,-0.02,0.32,0
not bad. somewhat useful for movie recap,-0.17,0.41,1
mixed feelings history fact,-0.19,0.41,0
hmm. kinda helpful for home decor,0.02,0.44,1
this made my day! love the nail art,0.43,0.88,0
too fast. didnt explain the why art timelapse,-0.59,0.13,1
thanks for sharing. kinda helpful for street food,0.21,0.47,1
loved this! love the mindfulness,0.67,0.88,0
impressive work. i can finally do this tech unboxing,0.58,0.71,1
too slow crypto explainer,-0.25,0.2,0
super helpful! love the tutorial,0.71,0.95,0
not helpful car mod,-0.95,0.06,0
misleading basketball highlight,-0.64,0.22,0
hilarious! love the product review,0.69,0.82,0
okay i guess. kinda helpful for comedy skit,0.05,0.54,1
lifechanging tip! love the budget meal,0.51,0.78,0
thanks for sharing productivity,0.06,0.7,0
i learned a lot! love the car mod,0.86,0.99,0
amazing content! love the prank,0.75,0.88,0
interesting skincare,0.02,0.69,0
not bad college vlog,-0.07,0.53,0
hmm prank,0.19,0.51,0
mixed feelings car mod,-0.17,0.67,0
okay i guess art timelapse,-0.08,0.58,0
confusing cat video,-0.8,0.13,0
not helpful. zero value recipe,-0.64,0.21,1
super helpful! love the movie recap,0.95,0.89,0
super helpful. explained so well garden tour,0.68,0.96,1
not helpful. didnt help life hack,-0.44,0.06,1
could be better garden tour,-0.0,0.32,0
genius idea! love the dog video,0.71,0.81,0
this made my day. this helped a lot product review,0.93,0.75,1
okay i guess resume tips,0.07,0.51,0
mixed feelings productivity,-0.0,0.55,0
okay i guess travel hack,0.3,0.66,0
annoying. useless budget meal,-0.82,0.02,1
impressive work! love the resume tips,0.68,0.92,0
confusing. still confused basketball highlight,-0.58,0.28,1
impressive work. i learned something new book review,0.85,0.98,1
solid advice! love the history fact,0.83,0.66,0
boring cooking fail,-0.94,0.18,0
well explained! love the knitting,0.56,0.85,0
overhyped. useless basketball highlight,-0.66,0.1,1
i didnt get it life hack,-0.96,0.31,0
inspiring. this helped a lot history fact,0.89,0.98,1
waste of time. didnt learn anything music cover,-0.35,0.24,1
loved this! love the recipe,0.98,0.73,0
well explained! love the history fact,0.88,0.96,0
ill try this parenting tip,0.23,0.52,0
chefs kiss. taking notes dog video,0.76,0.84,1
wholesome! love the history fact,0.94,0.9,0
okay i guess productivity,0.14,0.33,0
kinda useful book review,-0.19,0.48,0
misleading productivity,-0.53,0.23,0
i didnt get it. didnt explain the why finance advice,-0.74,0.17,1
loved this. exactly what i needed cat video,0.51,0.87,1
cute!. i can finally do this gaming clip,0.77,0.81,1
loved this. useful for beginners prank,1.0,0.86,1
mixed feelings dance,-0.06,0.38,0
hilarious. helped me fix it life hack,0.54,0.93,1
clickbait language lesson,-0.27,0.19,0
annoying crypto explainer,-0.7,0.24,0
well explained! love the art timelapse,0.63,0.83,0
genius idea! love the thrifting,0.97,0.71,0
okay i guess dog video,0.23,0.35,0
hilarious! love the art timelapse,0.86,0.86,0
solid advice! love the cooking fail,0.46,0.63,0
i didnt get it. no real tips thrifting,-0.95,0.1,1
amazing content. i learned something new skincare,0.94,0.93,1
impressive work. this helped a lot parenting tip,0.86,0.76,1
cringe. no real tips resume tips,-0.77,0.26,1
cringe. no real tips knitting,-0.36,0.19,1
could be better recipe,0.22,0.44,0
inspiring. bookmarked for later coding,0.96,0.71,1
decent car mod,0.0,0.43,0
not bad. kinda helpful for travel vlog,0.29,0.69,1
i didnt get it. useless comedy skit,-0.45,0.18,1
ill try this productivity,0.05,0.33,0
waste of time. zero value book review,-0.29,0.19,1
loved this. saved me time travel hack,0.78,0.96,1
interesting coding,0.16,0.56,0
super helpful. this answered my question nail art,0.84,0.87,1
crystal clear. i learned something new nail art,0.86,0.99,1
well explained! love the college vlog,0.93,0.85,0
cute!. this answered my question garden tour,0.85,0.9,1
cute!. practical tip asmr,0.52,0.94,1
confusing prank,-0.78,0.39,0
not bad. somewhat useful for comedy skit,-0.03,0.63,1
mixed feelings travel hack,-0.12,0.56,0
boring. not helpful at all dog video,-0.47,0.25,1
interesting. somewhat useful for tech unboxing,0.29,0.63,1
too slow recipe,-0.84,0.34,0
genius idea. clear and useful productivity,0.8,0.82,1
amazing content! love the motivation,0.55,0.88,0
this is gold. this helped a lot cat video,0.79,0.93,1
crystal clear. exactly what i needed dog video,0.92,0.79,1
kinda useful. somewhat useful for basketball highlight,0.06,0.56,1
decent life hack,-0.2,0.54,0
could be better asmr,-0.01,0.36,0
boring history fact,-0.54,0.05,0
misleading mindfulness,-0.4,0.07,0
decent productivity,-0.0,0.5,0
too fast. no real tips asmr,-0.67,0.21,1
i learned a lot. bookmarked for later photography,0.86,0.84,1
amazing content. exactly what i needed study tips,0.67,0.73,1
not bad. somewhat useful for coding,-0.15,0.4,1
annoying. this wont work knitting,-0.75,0.03,1
not helpful. still confused skincare,-0.75,0.04,1
not helpful. not useful recipe,-0.4,0.05,1
misleading. didnt learn anything recipe,-0.86,0.27,1
hmm motivation,0.29,0.68,0
interesting. somewhat useful for music cover,0.12,0.6,1
genius idea! love the language lesson,0.87,0.61,0
not helpful music cover,-0.22,0.17,0
could be better. somewhat useful for workout,0.14,0.67,1
hilarious! love the college vlog,0.88,0.76,0
inspiring. taking notes cleaning hack,0.51,0.89,1
inspiring. taking notes nail art,0.68,0.98,1
so good!. this answered my question budget meal,0.63,0.86,1
cute!! love the finance advice,0.42,0.88,0
annoying fashion haul,-0.3,0.23,0
i learned a lot. bookmarked for later gaming clip,0.79,0.82,1
genius idea! love the book review,0.48,0.74,0
this made my day! love the cooking fail,0.67,0.71,0
mixed feelings parenting tip,0.14,0.39,0
low effort. no real tips mindfulness,-0.59,0.27,1
clickbait garden tour,-0.64,0.02,0
okay i guess parenting tip,0.12,0.55,0
decent. kinda helpful for history fact,0.27,0.7,1
super helpful! love the asmr,0.93,0.94,0
impressive work. exactly what i needed prank,0.84,0.85,1
clickbait. this wont work car mod,-0.83,0.04,1
kinda useful makeup,0.21,0.49,0
could be better history fact,0.28,0.68,0
misleading. not helpful at all resume tips,-0.54,0.15,1
terrible explanation. still confused gaming clip,-0.93,0.21,1
boring. not useful study tips,-0.36,0.14,1
boring fashion haul,-0.46,0.33,0
overhyped. missing steps budget meal,-0.46,0.3,1
kinda useful book review,0.08,0.32,0
mixed feelings gaming clip,0.18,0.36,0
too fast ai demo,-0.68,0.3,0
clickbait. not helpful at all asmr,-0.66,0.04,1
boring ai demo,-0.71,0.26,0
could be better. kinda helpful for dog video,0.21,0.62,1
interesting life hack,0.22,0.6,0
kinda useful recipe,0.12,0.32,0
overhyped basketball highlight,-0.25,0.3,0
inspiring! love the music cover,0.93,0.69,0
cute!! love the cooking fail,0.72,0.95,0
cute!! love the resume tips,0.8,0.71,0
cute!. taking notes history fact,0.89,0.78,1
i learned a lot. saved me time cooking fail,0.93,0.81,1
amazing content. i learned something new dance,0.7,0.99,1
i learned a lot. useful for beginners music cover,0.72,0.81,1
loved this! love the prank,0.68,0.91,0
boring. still confused comedy skit,-0.88,0.15,1
genius idea. practical tip workout,0.6,0.91,1
interesting. somewhat useful for basketball highlight,0.24,0.65,1
too slow motivation,-0.61,0.08,0
impressive work! love the music cover,0.82,0.66,0
cute!! love the cleaning hack,0.51,0.9,0
cute!! love the skincare,0.84,0.89,0
chefs kiss. exactly what i needed cat video,0.95,0.78,1
boring. useless skincare,-0.49,0.2,1
too fast. still confused budget meal,-0.23,0.19,1
so good!. exactly what i needed makeup,0.8,0.83,1
not bad travel hack,0.13,0.47,0
solid advice. this answered my question budget meal,0.65,0.91,1
i didnt get it ai demo,-0.82,0.22,0
mixed feelings. kinda helpful for home decor,-0.1,0.65,1
thanks for sharing. somewhat useful for hair tutorial,0.3,0.44,1
decent skincare,0.1,0.55,0
decent. kinda helpful for resume tips,-0.15,0.47,1
very entertaining! love the cooking fail,0.88,0.91,0
interesting. kinda helpful for resume tips,0.12,0.67,1
ill try this motivation,-0.05,0.39,0
thanks for sharing mindfulness,-0.08,0.51,0
not bad street food,0.06,0.3,0
solid advice. very helpful fashion haul,0.78,0.8,1
chefs kiss. taking notes motivation,0.61,1.0,1
chefs kiss. helped me fix it hair tutorial,0.66,0.87,1
genius idea. explained so well knitting,0.75,0.72,1
this made my day. super useful dance,0.97,0.92,1
super helpful. i learned something new skincare,0.73,0.9,1
misleading ai demo,-0.55,0.18,0
confusing hair tutorial,-0.97,0.23,0
solid advice! love the tutorial,0.84,0.9,0
terrible explanation. missing steps skincare,-0.55,0.23,1
could be better. kinda helpful for asmr,-0.15,0.68,1
too slow productivity,-0.6,0.24,0
genius idea! love the mindfulness,0.74,0.61,0
overhyped. still confused science experiment,-0.33,0.29,1
overhyped comedy skit,-0.65,0.09,0
cringe street food,-0.9,0.28,0
genius idea! love the asmr,0.45,0.68,0
i didnt get it. this wont work budget meal,-0.57,0.28,1
annoying. still confused prank,-0.5,0.15,1
loved this. this helped a lot cooking fail,0.79,0.85,1
cringe nail art,-0.79,0.26,0
genius idea. i learned something new music cover,0.59,0.88,1
solid advice. exactly what i needed gaming clip,0.53,0.85,1
ill try this cleaning hack,-0.2,0.45,0
ill try this. kinda helpful for movie recap,0.26,0.53,1
ill try this. kinda helpful for gaming clip,-0.18,0.64,1
solid advice! love the basketball highlight,0.99,0.82,0
overhyped. not useful mindfulness,-0.96,0.27,1
well explained. practical tip movie recap,0.77,0.74,1
low effort. didnt learn anything travel hack,-1.0,0.09,1
crystal clear! love the recipe,0.41,1.0,0
genius idea! love the recipe,0.46,0.82,0
not bad art timelapse,0.19,0.54,0
loved this! love the gaming clip,0.6,0.83,0
boring crypto explainer,-0.57,0.23,0
kinda useful. kinda helpful for travel vlog,-0.04,0.4,1
could be better workout,0.22,0.68,0
brilliant! love the art timelapse,0.45,0.99,0
i learned a lot. super useful music cover,0.52,0.99,1
cute!! love the comedy skit,0.44,0.97,0
solid advice. explained so well garden tour,0.5,0.78,1
super helpful! love the motivation,0.87,0.9,0
solid advice. this answered my question ai demo,0.54,0.81,1
not bad language lesson,0.12,0.32,0
well explained! love the budget meal,0.77,0.84,0
inspiring! love the music cover,0.7,0.8,0
boring. no real tips ai demo,-0.73,0.24,1
thanks for sharing productivity,0.22,0.63,0
too slow nail art,-0.96,0.34,0
this made my day. this helped a lot book review,0.9,0.95,1
not bad tutorial,0.18,0.66,0
very entertaining! love the comedy skit,0.93,0.88,0
hmm. somewhat useful for college vlog,-0.06,0.65,1
so good!! love the asmr,0.41,0.87,0
wholesome. this answered my question knitting,0.97,0.74,1
well explained! love the comedy skit,0.78,0.97,0
okay i guess science experiment,-0.05,0.41,0
mixed feelings crypto explainer,0.13,0.64,0
impressive work. i learned something new productivity,0.8,0.93,1
terrible explanation hair tutorial,-0.6,0.39,0
misleading cleaning hack,-0.58,0.15,0
terrible explanation. missing steps nail art,-0.93,0.29,1
solid advice. i can finally do this basketball highlight,0.8,0.76,1
impressive work. taking notes makeup,0.84,1.0,1
ill try this. kinda helpful for car mod,0.14,0.55,1
cute!! love the dance,0.52,0.89,0
this is gold. this answered my question workout,0.92,0.92,1
could be better tutorial,-0.0,0.42,0
mixed feelings dog video,-0.02,0.3,0
boring ai demo,-0.7,0.21,0
lifechanging tip. taking notes mindfulness,0.57,0.74,1
not helpful ai demo,-0.54,0.37,0
cringe comedy skit,-0.49,0.36,0
cute!. clear and useful dog video,0.9,0.91,1
kinda useful life hack,0.14,0.52,0
very entertaining! love the movie recap,0.49,0.64,0
could be better. kinda helpful for garden tour,-0.18,0.4,1
okay i guess resume tips,0.03,0.44,0
clickbait. this wont work home decor,-0.22,0.14,1
too fast science experiment,-0.84,0.21,0
waste of time. no real tips basketball highlight,-0.9,0.22,1
wholesome! love the language lesson,0.85,0.82,0
genius idea. bookmarked for later history fact,0.76,0.86,1
hilarious. i learned something new car mod,0.69,0.81,1
kinda useful. somewhat useful for dance,0.02,0.65,1
mixed feelings. somewhat useful for ai demo,0.16,0.65,1
not bad. somewhat useful for product review,-0.14,0.44,1
not bad. somewhat useful for crypto explainer,0.12,0.47,1
chefs kiss. saved me time gaming clip,0.8,0.94,1
crystal clear. saved me time movie recap,0.93,0.94,1
annoying. useless study tips,-0.37,0.27,1
hilarious. this helped a lot photography,0.87,0.93,1
lifechanging tip. bookmarked for later thrifting,0.85,0.91,1
overhyped street food,-0.33,0.2,0
not bad. somewhat useful for car mod,-0.07,0.55,1
could be better. somewhat useful for parenting tip,-0.18,0.58,1
well explained! love the skincare,0.59,0.82,0
brilliant! love the photography,0.84,0.95,0
chefs kiss. bookmarked for later cleaning hack,0.63,0.96,1
genius idea. this helped a lot parenting tip,0.72,0.9,1
impressive work! love the travel hack,0.47,0.99,0
decent resume tips,0.23,0.5,0
i learned a lot! love the budget meal,0.48,0.7,0
hmm skincare,0.09,0.44,0
interesting productivity,0.28,0.46,0
boring. useless dance,-0.27,0.08,1
overhyped. this wont work skincare,-0.23,0.03,1
very entertaining. super useful crypto explainer,0.59,0.99,1
i didnt get it recipe,-0.39,0.04,0
well explained! love the recipe,0.55,0.98,0
inspiring. practical tip study tips,0.91,0.92,1
misleading. not useful thrifting,-0.54,0.07,1
boring life hack,-0.54,0.16,0
kinda useful fashion haul,-0.1,0.45,0
not bad street food,-0.16,0.7,0
impressive work. helped me fix it science experiment,0.9,0.9,1
decent. somewhat useful for fashion haul,0.05,0.6,1
loved this. very helpful motivation,0.55,0.77,1
okay i guess movie recap,-0.07,0.47,0
lifechanging tip. this helped a lot home decor,0.76,0.96,1
i learned a lot! love the motivation,0.82,0.61,0
too slow thrifting,-0.28,0.14,0
ill try this music cover,-0.01,0.68,0
inspiring! love the crypto explainer,0.47,0.92,0
well explained! love the basketball highlight,0.43,0.8,0
hmm product review,0.03,0.55,0
annoying crypto explainer,-0.84,0.18,0
mixed feelings. somewhat useful for garden tour,0.03,0.65,1
very entertaining. saved me time garden tour,0.67,0.83,1
could be better cooking fail,0.26,0.33,0
crystal clear! love the cleaning hack,0.7,0.99,0
low effort car mod,-0.24,0.33,0
i didnt get it. still confused life hack,-0.61,0.06,1
mixed feelings garden tour,0.2,0.62,0
solid advice! love the knitting,0.89,0.85,0
cringe photography,-0.65,0.11,0
overhyped comedy skit,-0.38,0.1,0
interesting prank,0.22,0.41,0
thanks for sharing. somewhat useful for cleaning hack,0.2,0.47,1
loved this! love the science experiment,0.69,0.6,0
mixed feelings music cover,-0.11,0.53,0
chefs kiss! love the hair tutorial,0.71,0.88,0
i didnt get it. no real tips finance advice,-1.0,0.03,1
i learned a lot! love the product review,0.59,0.62,0
boring knitting,-0.53,0.18,0
hilarious. i learned something new skincare,0.99,0.78,1
boring. zero value motivation,-0.84,0.27,1
thanks for sharing. kinda helpful for asmr,0.09,0.69,1
cute!. explained so well dog video,0.56,0.94,1
i learned a lot. explained so well hair tutorial,0.82,0.84,1
interesting life hack,-0.09,0.41,0
hmm language lesson,0.1,0.49,0
genius idea! love the history fact,0.86,0.87,0
so good!! love the mindfulness,0.92,0.79,0
clickbait productivity,-0.46,0.28,0
boring gaming clip,-0.92,0.16,0
kinda useful. somewhat useful for skincare,0.28,0.58,1
crystal clear! love the resume tips,0.55,0.76,0
interesting cooking fail,-0.18,0.33,0
not bad basketball highlight,-0.07,0.63,0
impressive work! love the garden tour,0.58,0.81,0
decent. somewhat useful for finance advice,-0.09,0.51,1
interesting history fact,0.11,0.65,0
crystal clear. explained so well car mod,0.91,0.87,1
cringe prank,-0.24,0.1,0
thanks for sharing productivity,-0.07,0.41,0
clickbait finance advice,-0.41,0.13,0
loved this. useful for beginners skincare,0.5,0.81,1
too slow travel hack,-0.71,0.05,0
waste of time skincare,-0.5,0.24,0
super helpful! love the product review,0.61,0.99,0
so good!. taking notes science experiment,0.9,0.88,1
cringe. missing steps finance advice,-0.87,0.06,1
lifechanging tip. very helpful gaming clip,0.96,0.87,1
impressive work. this helped a lot tutorial,0.85,0.93,1
misleading product review,-0.45,0.05,0
genius idea. clear and useful asmr,0.61,0.91,1
cute!! love the cleaning hack,0.93,0.83,0
clickbait cleaning hack,-0.34,0.09,0
i didnt get it. didnt explain the why art timelapse,-0.59,0.06,1
thanks for sharing. somewhat useful for makeup,-0.11,0.55,1
wholesome! love the art timelapse,0.8,0.63,0
not bad history fact,0.23,0.59,0
hilarious. taking notes home decor,0.51,0.94,1
misleading travel hack,-0.43,0.05,0
waste of time language lesson,-0.43,0.12,0
very entertaining. practical tip dance,0.68,0.8,1
annoying college vlog,-0.94,0.2,0
okay i guess cat video,-0.05,0.61,0
hmm. somewhat useful for photography,0.24,0.51,1
amazing content! love the gaming clip,0.84,0.92,0
interesting prank,0.24,0.58,0
thanks for sharing art timelapse,0.25,0.47,0
waste of time. not useful ai demo,-0.66,0.1,1
well explained. this helped a lot garden tour,0.89,0.98,1
interesting. kinda helpful for productivity,0.19,0.45,1
ill try this. somewhat useful for workout,0.21,0.68,1
kinda useful gaming clip,-0.18,0.55,0
well explained! love the history fact,0.61,0.85,0
cringe. didnt help history fact,-0.55,0.13,1
cute!! love the crypto explainer,0.92,0.77,0
lifechanging tip. this helped a lot cooking fail,0.9,0.79,1
loved this. very helpful nail art,0.69,0.84,1
okay i guess. somewhat useful for history fact,-0.08,0.54,1
thanks for sharing motivation,-0.17,0.4,0
could be better resume tips,0.12,0.52,0
cringe recipe,-0.94,0.08,0
super helpful. this helped a lot study tips,0.85,0.71,1
thanks for sharing resume tips,-0.18,0.5,0
could be better tutorial,-0.12,0.48,0
too slow. no real tips tech unboxing,-0.25,0.08,1
hilarious. exactly what i needed cleaning hack,0.64,0.92,1
misleading makeup,-0.76,0.04,0
misleading. still confused knitting,-0.32,0.09,1
okay i guess comedy skit,0.02,0.54,0
mixed feelings prank,0.07,0.57,0
too slow. still confused photography,-0.47,0.16,1
boring movie recap,-0.44,0.23,0
solid advice. super useful prank,0.64,0.76,1
thanks for sharing workout,0.27,0.64,0
solid advice. taking notes product review,0.76,1.0,1
okay i guess gaming clip,-0.08,0.62,0
okay i guess. somewhat useful for tech unboxing,0.25,0.44,1
hmm. kinda helpful for music cover,-0.1,0.61,1
mixed feelings mindfulness,0.26,0.4,0
hilarious! love the history fact,0.79,0.87,0
too fast art timelapse,-0.72,0.02,0
clickbait dog video,-0.79,0.26,0
boring. not helpful at all comedy skit,-0.91,0.11,1
i learned a lot. this helped a lot productivity,0.54,0.79,1
not bad resume tips,-0.08,0.35,0
