comment,sentiment_score,usefulness_score,usefulness_mentioned
mixed feelings travel vlog,0.2,0.56,0
this is gold! love the mindfulness,0.73,0.62,0
okay i guess travel vlog,0.05,0.58,0
waste of time car mod,-0.45,0.27,0
too fast. still confused cat video,-0.21,0.01,1
interesting. kinda helpful for cooking fail,0.06,0.58,1
hmm science experiment,-0.02,0.61,0
cute!. super useful hair tutorial,0.81,0.81,1
boring. this wont work study tips,-0.96,0.25,1
not bad. kinda helpful for tutorial,0.18,0.4,1
hilarious. i can finally do this makeup,0.91,0.98,1
loved this. very helpful gaming clip,0.72,0.88,1
terrible explanation. not helpful at all prank,-0.84,0.05,1
annoying travel vlog,-0.88,0.17,0
hilarious! love the parenting tip,0.94,0.87,0
okay i guess motivation,-0.2,0.43,0
clickbait science experiment,-0.97,0.22,0
this made my day! love the nail art,0.45,0.81,0
decent product review,-0.02,0.69,0
interesting life hack,0.06,0.45,0
ill try this. somewhat useful for ai demo,0.09,0.67,1
well explained. clear and useful life hack,0.84,0.75,1
clickbait mindfulness,-0.91,0.13,0
this made my day. clear and useful recipe,0.52,0.86,1
crystal clear. i can finally do this language lesson,0.62,0.81,1
cute!! love the mindfulness,0.62,0.72,0
low effort parenting tip,-0.68,0.11,0
loved this! love the comedy skit,0.49,0.91,0
i didnt get it. zero value tutorial,-0.44,0.1,1
well explained! love the home decor,0.95,0.85,0
low effort asmr,-0.58,0.15,0
genius idea! love the parenting tip,0.7,0.9,0
confusing college vlog,-0.29,0.29,0
crystal clear. taking notes nail art,0.79,0.72,1
lifechanging tip! love the product review,0.55,0.72,0
chefs kiss! love the product review,0.92,0.93,0
hilarious. explained so well knitting,1.0,0.96,1
so good!. useful for beginners art timelapse,0.71,0.89,1
too slow tech unboxing,-0.98,0.06,0
clickbait. didnt help makeup,-0.65,0.04,1
cringe. not helpful at all recipe,-0.95,0.18,1
not helpful finance advice,-0.3,0.02,0
could be better. somewhat useful for makeup,0.13,0.64,1
kinda useful cleaning hack,0.14,0.33,0
brilliant. practical tip parenting tip,0.83,0.83,1
interesting knitting,0.12,0.48,0
inspiring! love the hair tutorial,0.99,0.93,0
brilliant! love the workout,0.62,0.7,0
clickbait. no real tips ai demo,-0.37,0.22,1
genius idea. explained so well home decor,0.94,0.92,1
decent. kinda helpful for ai demo,-0.14,0.44,1
hmm ai demo,-0.01,0.54,0
annoying home decor,-0.57,0.12,0
cute!! love the art timelapse,0.51,0.66,0
confusing dance,-0.66,0.36,0
brilliant. saved me time asmr,0.79,0.83,1
crystal clear! love the life hack,0.55,0.82,0
wholesome. i can finally do this street food,0.89,0.92,1
super helpful. super useful art timelapse,0.8,0.72,1
misleading. didnt help finance advice,-0.55,0.03,1
decent. kinda helpful for motivation,0.09,0.54,1
not helpful. missing steps coding,-0.73,0.15,1
misleading tutorial,-0.65,0.32,0
kinda useful basketball highlight,0.04,0.5,0
amazing content! love the asmr,0.53,0.86,0
this made my day. practical tip skincare,0.52,0.85,1
super helpful. clear and useful nail art,0.87,0.85,1
genius idea. practical tip life hack,0.59,1.0,1
very entertaining. useful for beginners home decor,0.73,0.95,1
annoying. not useful tutorial,-0.82,0.23,1
interesting nail art,-0.05,0.33,0
misleading garden tour,-0.33,0.14,0
brilliant! love the workout,0.88,0.8,0
thanks for sharing thrifting,-0.12,0.39,0
decent thrifting,0.24,0.62,0
loved this! love the dog video,0.58,0.75,0
ill try this. somewhat useful for cat video,-0.01,0.61,1
misleading. zero value movie recap,-0.86,0.0,1
cringe. zero value gaming clip,-0.8,0.04,1
this made my day! love the book review,0.55,0.72,0
lifechanging tip! love the finance advice,0.9,0.7,0
very entertaining. i can finally do this resume tips,0.79,0.77,1
genius idea. exactly what i needed dog video,0.54,0.8,1
confusing thrifting,-0.49,0.07,0
loved this! love the garden tour,0.6,0.7,0
mixed feelings. kinda helpful for travel vlog,0.02,0.6,1
annoying art timelapse,-0.26,0.24,0
annoying history fact,-0.51,0.18,0
inspiring. practical tip crypto explainer,0.9,0.75,1
brilliant! love the nail art,0.46,0.71,0
could be better. kinda helpful for asmr,-0.16,0.4,1
terrible explanation cooking fail,-0.54,0.23,0
confusing book review,-0.34,0.33,0
amazing content. useful for beginners recipe,0.65,0.85,1
could be better movie recap,-0.02,0.46,0
okay i guess movie recap,0.1,0.68,0
mixed feelings prank,0.26,0.68,0
too slow. didnt learn anything movie recap,-0.88,0.06,1
not bad. somewhat useful for gaming clip,-0.09,0.66,1
okay i guess science experiment,-0.11,0.39,0
overhyped. no real tips comedy skit,-0.25,0.12,1
cringe. zero value car mod,-0.25,0.09,1
terrible explanation. not helpful at all basketball highlight,-0.62,0.24,1
inspiring! love the recipe,0.7,0.88,0
misleading. this wont work productivity,-0.28,0.21,1
kinda useful garden tour,-0.05,0.37,0
loved this! love the college vlog,0.62,0.63,0
thanks for sharing college vlog,0.26,0.5,0
waste of time. zero value book review,-0.77,0.13,1
could be better dog video,-0.11,0.38,0
overhyped productivity,-0.74,0.23,0
impressive work. useful for beginners fashion haul,0.6,0.85,1
okay i guess product review,0.13,0.48,0
loved this. taking notes cleaning hack,0.68,0.96,1
too slow parenting tip,-0.94,0.23,0
too slow. didnt help travel vlog,-0.75,0.2,1
annoying. missing steps movie recap,-0.2,0.3,1
could be better tutorial,0.08,0.66,0
ill try this. kinda helpful for crypto explainer,0.01,0.51,1
so good!! love the mindfulness,0.95,0.74,0
overhyped. zero value home decor,-0.7,0.05,1
loved this! love the history fact,0.77,0.74,0
not bad study tips,0.26,0.58,0
not bad recipe,0.2,0.69,0
lifechanging tip. this answered my question productivity,0.52,0.8,1
okay i guess. kinda helpful for dog video,0.04,0.66,1
overhyped. didnt explain the why cooking fail,-0.49,0.05,1
hilarious. i can finally do this budget meal,0.91,0.96,1
annoying tech unboxing,-0.65,0.12,0
low effort. zero value resume tips,-0.75,0.13,1
kinda useful nail art,-0.16,0.39,0
confusing hair tutorial,-0.87,0.2,0
inspiring! love the prank,0.8,0.61,0
too fast prank,-0.67,0.1,0
clickbait. not helpful at all street food,-0.6,0.04,1
this made my day. super useful movie recap,0.99,0.86,1
could be better dog video,-0.1,0.62,0
inspiring. useful for beginners basketball highlight,0.6,0.96,1
misleading makeup,-0.42,0.1,0
genius idea. this helped a lot movie recap,0.65,0.94,1
brilliant. exactly what i needed motivation,0.67,0.8,1
kinda useful knitting,0.14,0.7,0
mixed feelings makeup,0.15,0.64,0
could be better makeup,0.18,0.54,0
kinda useful nail art,0.02,0.49,0
i didnt get it art timelapse,-0.83,0.05,0
well explained! love the budget meal,0.79,0.92,0
i learned a lot. saved me time dance,0.67,0.78,1
not bad cooking fail,0.21,0.62,0
so good!. saved me time music cover,0.89,0.9,1
not bad. kinda helpful for ai demo,-0.03,0.5,1
clickbait. didnt explain the why life hack,-0.89,0.12,1
too slow. useless art timelapse,-0.64,0.18,1
decent resume tips,0.25,0.64,0
this made my day! love the tutorial,0.52,0.82,0
genius idea. taking notes finance advice,0.67,0.8,1
kinda useful music cover,0.15,0.67,0
could be better resume tips,0.26,0.62,0
okay i guess coding,0.18,0.62,0
clickbait dance,-0.98,0.37,0
not bad basketball highlight,-0.15,0.42,0
i learned a lot. useful for beginners photography,0.85,0.71,1
could be better movie recap,-0.13,0.68,0
loved this! love the productivity,0.74,0.77,0
wholesome. i can finally do this travel vlog,0.62,0.7,1
hmm. somewhat useful for language lesson,-0.13,0.54,1
thanks for sharing product review,0.13,0.65,0
interesting comedy skit,-0.17,0.56,0
kinda useful music cover,0.05,0.65,0
okay i guess. kinda helpful for nail art,-0.14,0.66,1
chefs kiss. exactly what i needed resume tips,0.63,0.73,1
not bad science experiment,0.03,0.35,0
loved this. clear and useful hair tutorial,0.88,0.77,1
genius idea! love the finance advice,0.88,0.79,0
cringe recipe,-0.89,0.08,0
boring. didnt learn anything travel vlog,-0.49,0.08,1
interesting gaming clip,-0.19,0.31,0
crystal clear. this helped a lot study tips,0.56,0.81,1
clickbait dog video,-0.65,0.31,0
too fast. zero value prank,-0.66,0.09,1
annoying gaming clip,-0.43,0.25,0
impressive work. this answered my question movie recap,0.6,0.8,1
too fast basketball highlight,-0.9,0.16,0
hmm tech unboxing,0.23,0.53,0
waste of time. this wont work movie recap,-0.82,0.11,1
mixed feelings science experiment,0.06,0.37,0
this is gold. explained so well history fact,0.75,0.91,1
kinda useful nail art,0.19,0.44,0
overhyped book review,-0.61,0.2,0
misleading book review,-0.76,0.1,0
terrible explanation book review,-0.26,0.35,0
hilarious. practical tip product review,0.75,0.94,1
impressive work. taking notes nail art,0.83,0.96,1
so good!! love the product review,0.55,0.79,0
crystal clear! love the art timelapse,0.43,0.9,0
decent. somewhat useful for cat video,-0.18,0.48,1
genius idea! love the asmr,0.94,0.64,0
loved this. practical tip car mod,0.91,0.72,1
thanks for sharing. somewhat useful for knitting,0.27,0.58,1
i didnt get it comedy skit,-0.45,0.14,0
kinda useful prank,0.01,0.41,0
lifechanging tip! love the comedy skit,0.94,0.88,0
not helpful. useless science experiment,-0.61,0.22,1
okay i guess book review,-0.09,0.34,0
waste of time. useless workout,-0.47,0.12,1
hmm makeup,-0.06,0.61,0
this is gold! love the dance,0.46,0.67,0
so good!. super useful product review,0.9,0.91,1
cringe budget meal,-0.73,0.27,0
wholesome! love the science experiment,0.97,0.78,0
okay i guess. kinda helpful for mindfulness,-0.09,0.61,1
hilarious. i can finally do this basketball highlight,0.72,0.74,1
thanks for sharing. somewhat useful for skincare,-0.18,0.5,1
this made my day. useful for beginners makeup,0.63,0.89,1
thanks for sharing college vlog,0.2,0.45,0
genius idea. very helpful history fact,0.68,0.99,1
not bad tutorial,0.13,0.39,0
boring asmr,-0.32,0.19,0
crystal clear! love the music cover,0.57,0.63,0
kinda useful movie recap,0.1,0.7,0
so good!. this helped a lot college vlog,0.59,0.84,1
not bad street food,0.29,0.64,0
this is gold. i can finally do this science experiment,0.62,0.71,1
cringe dog video,-0.63,0.21,0
so good!. exactly what i needed science experiment,0.97,0.7,1
interesting cleaning hack,-0.17,0.41,0
i learned a lot. exactly what i needed history fact,0.52,0.98,1
mixed feelings cooking fail,-0.04,0.61,0
interesting resume tips,-0.15,0.53,0
hilarious. exactly what i needed history fact,0.81,0.82,1
very entertaining! love the resume tips,0.46,0.96,0
cringe book review,-0.56,0.09,0
hmm basketball highlight,0.04,0.36,0
lifechanging tip! love the product review,0.91,0.96,0
ill try this study tips,0.02,0.69,0
ill try this resume tips,0.23,0.59,0
too fast. no real tips college vlog,-0.23,0.19,1
very entertaining. super useful travel vlog,0.64,0.99,1
thanks for sharing travel vlog,-0.04,0.54,0
hmm parenting tip,-0.15,0.65,0
lifechanging tip. super useful knitting,0.63,0.98,1
misleading. no real tips prank,-0.5,0.01,1
hilarious. i can finally do this life hack,0.99,0.87,1
low effort college vlog,-0.23,0.31,0
i didnt get it crypto explainer,-0.38,0.39,0
super helpful! love the gaming clip,0.49,0.7,0
could be better recipe,0.09,0.44,0
super helpful. i learned something new art timelapse,0.5,0.81,1
low effort. missing steps budget meal,-0.83,0.24,1
decent. somewhat useful for tech unboxing,0.21,0.48,1
boring. this wont work prank,-0.41,0.1,1
lifechanging tip! love the budget meal,0.67,0.89,0
cringe. not helpful at all photography,-0.78,0.01,1
well explained! love the product review,0.42,0.62,0
i didnt get it finance advice,-0.77,0.36,0
ill try this. somewhat useful for product review,-0.11,0.54,1
overhyped. no real tips travel vlog,-0.41,0.25,1
terrible explanation. this wont work comedy skit,-0.39,0.04,1
kinda useful ai demo,0.11,0.65,0
wholesome. super useful comedy skit,0.85,0.83,1
okay i guess. kinda helpful for resume tips,0.22,0.66,1
waste of time. not useful cleaning hack,-0.99,0.24,1
clickbait college vlog,-0.78,0.12,0
very entertaining. i can finally do this cooking fail,0.68,0.84,1
hilarious! love the crypto explainer,0.63,0.6,0
decent language lesson,0.0,0.66,0
cute!! love the knitting,0.89,0.98,0
low effort. still confused basketball highlight,-0.31,0.12,1
waste of time. didnt explain the why car mod,-0.73,0.22,1
this is gold! love the tech unboxing,0.44,0.75,0
kinda useful book review,0.05,0.54,0
okay i guess. kinda helpful for workout,0.08,0.61,1
super helpful. helped me fix it college vlog,0.84,0.84,1
hmm. kinda helpful for tech unboxing,-0.05,0.54,1
this made my day. this helped a lot productivity,0.77,0.76,1
boring. not helpful at all life hack,-0.91,0.27,1
clickbait. didnt learn anything gaming clip,-0.57,0.08,1
hmm. somewhat useful for history fact,-0.16,0.43,1
mixed feelings life hack,-0.09,0.68,0
too fast. this wont work dog video,-0.26,0.14,1
very entertaining! love the crypto explainer,0.66,0.95,0
too fast crypto explainer,-0.43,0.23,0
not bad knitting,-0.13,0.51,0
lifechanging tip! love the resume tips,0.75,0.64,0
thanks for sharing. kinda helpful for knitting,-0.12,0.61,1
impressive work. i learned something new life hack,0.68,0.86,1
decent gaming clip,0.22,0.53,0
amazing content! love the cat video,0.96,0.94,0
mixed feelings dog video,0.23,0.6,0
hilarious. useful for beginners tutorial,0.89,0.74,1
hmm art timelapse,-0.01,0.59,0
terrible explanation movie recap,-0.92,0.06,0
thanks for sharing. somewhat useful for history fact,-0.12,0.41,1
boring life hack,-0.78,0.04,0
lifechanging tip! love the prank,0.9,0.63,0
too fast. didnt learn anything finance advice,-0.78,0.01,1
boring tutorial,-0.85,0.1,0
too slow cat video,-0.89,0.19,0
crystal clear. useful for beginners finance advice,0.73,0.89,1
mixed feelings study tips,0.26,0.4,0
boring. didnt learn anything basketball highlight,-0.65,0.1,1
decent. kinda helpful for dog video,-0.06,0.68,1
brilliant. taking notes study tips,0.61,0.77,1
waste of time. not helpful at all asmr,-0.23,0.25,1
crystal clear! love the science experiment,0.9,0.69,0
thanks for sharing prank,0.11,0.52,0
kinda useful history fact,0.24,0.39,0
loved this. useful for beginners asmr,0.8,0.73,1
too slow workout,-0.63,0.15,0
not helpful travel vlog,-0.25,0.04,0
low effort fashion haul,-0.52,0.27,0
crystal clear. useful for beginners dance,0.63,0.76,1
very entertaining. clear and useful comedy skit,0.85,0.74,1
amazing content. useful for beginners travel hack,0.7,0.99,1
loved this! love the cooking fail,0.7,0.95,0
not helpful. useless photography,-0.4,0.06,1
loved this! love the skincare,0.53,0.99,0
kinda useful history fact,-0.06,0.65,0
could be better art timelapse,0.13,0.69,0
crystal clear. bookmarked for later prank,0.69,0.79,1
terrible explanation tech unboxing,-0.25,0.21,0
crystal clear. explained so well dog video,0.6,0.79,1
genius idea. bookmarked for later basketball highlight,0.75,0.95,1
mixed feelings asmr,0.19,0.46,0
well explained! love the tutorial,0.67,0.73,0
could be better. kinda helpful for fashion haul,-0.12,0.4,1
this is gold. useful for beginners makeup,0.68,0.88,1
well explained. i learned something new ai demo,0.54,0.71,1
waste of time workout,-0.56,0.19,0
too fast. not helpful at all music cover,-0.84,0.19,1
boring thrifting,-0.49,0.07,0
chefs kiss. useful for beginners dance,0.63,0.74,1
clickbait parenting tip,-0.52,0.13,0
hmm budget meal,0.14,0.46,0
wholesome. clear and useful recipe,0.99,0.82,1
decent product review,-0.2,0.57,0
could be better. somewhat useful for asmr,0.16,0.51,1
this is gold! love the cleaning hack,0.66,0.83,0
amazing content. useful for beginners fashion haul,0.66,0.93,1
misleading knitting,-0.26,0.35,0
hmm travel hack,0.14,0.38,0
very entertaining. this helped a lot prank,0.97,0.81,1
not bad movie recap,0.24,0.69,0
solid advice! love the motivation,0.85,0.88,0
waste of time. no real tips car mod,-0.21,0.18,1
cringe recipe,-0.5,0.27,0
ill try this travel vlog,-0.05,0.39,0
boring cat video,-0.92,0.09,0
decent. kinda helpful for prank,-0.13,0.42,1
thanks for sharing skincare,0.19,0.3,0
this made my day. very helpful coding,0.68,0.85,1
brilliant. exactly what i needed recipe,0.6,0.72,1
not bad. kinda helpful for motivation,-0.16,0.57,1
lifechanging tip! love the garden tour,0.69,0.61,0
well explained. i can finally do this gaming clip,0.82,0.84,1
confusing. not helpful at all motivation,-0.48,0.21,1
i didnt get it. didnt learn anything thrifting,-0.29,0.25,1
wholesome. exactly what i needed basketball highlight,0.76,0.94,1
this is gold. explained so well car mod,0.81,0.79,1
could be better gaming clip,-0.13,0.35,0
confusing. useless fashion haul,-0.41,0.2,1
crystal clear. bookmarked for later cleaning hack,0.56,0.87,1
so good!. this answered my question skincare,0.86,0.88,1
amazing content! love the fashion haul,0.85,0.67,0
loved this! love the photography,0.45,0.64,0
okay i guess productivity,-0.09,0.66,0
ill try this product review,0.2,0.34,0
terrible explanation parenting tip,-0.99,0.38,0
i learned a lot! love the language lesson,0.66,0.69,0
chefs kiss. taking notes recipe,0.97,0.94,1
interesting. kinda helpful for skincare,-0.06,0.58,1
this is gold! love the dog video,0.4,0.7,0
hilarious. i can finally do this language lesson,0.63,0.85,1
could be better photography,-0.19,0.39,0
loved this. helped me fix it photography,0.66,0.77,1
hilarious. taking notes tutorial,0.72,0.88,1
brilliant! love the ai demo,0.73,0.69,0
this made my day! love the tutorial,0.55,0.77,0
not helpful life hack,-0.71,0.24,0
this made my day! love the fashion haul,0.78,0.93,0
i didnt get it. still confused car mod,-0.72,0.08,1
could be better photography,0.13,0.38,0
misleading coding,-0.47,0.18,0
this made my day! love the recipe,0.73,0.86,0
not bad gaming clip,-0.06,0.68,0
kinda useful history fact,0.09,0.66,0
so good!. this helped a lot history fact,0.9,0.87,1
kinda useful photography,0.24,0.32,0
well explained. helped me fix it crypto explainer,0.72,0.96,1
amazing content. useful for beginners crypto explainer,0.79,0.81,1
impressive work. exactly what i needed college vlog,0.75,0.81,1
too slow fashion haul,-0.83,0.38,0
so good!. useful for beginners ai demo,0.95,0.78,1
very entertaining. saved me time home decor,0.65,0.94,1
hilarious. helped me fix it product review,0.86,0.77,1
too slow. this wont work motivation,-0.64,0.12,1
annoying coding,-0.34,0.35,0
clickbait. didnt help movie recap,-0.84,0.12,1
not helpful. useless finance advice,-0.45,0.08,1
crystal clear. i can finally do this history fact,0.78,0.96,1
confusing. no real tips fashion haul,-0.36,0.11,1
misleading. no real tips gaming clip,-0.93,0.28,1
hmm. somewhat useful for study tips,-0.06,0.54,1
too fast basketball highlight,-0.5,0.07,0
genius idea. saved me time movie recap,0.99,0.73,1
super helpful! love the mindfulness,0.8,0.72,0
kinda useful. kinda helpful for nail art,-0.09,0.46,1
mixed feelings home decor,-0.14,0.53,0
cringe. didnt learn anything prank,-0.48,0.29,1
super helpful! love the cleaning hack,0.94,0.62,0
misleading. useless parenting tip,-0.98,0.3,1
well explained! love the cooking fail,0.72,0.87,0
low effort product review,-0.49,0.37,0
thanks for sharing. somewhat useful for tutorial,0.23,0.51,1
hmm thrifting,-0.13,0.65,0
interesting. kinda helpful for dog video,0.19,0.42,1
brilliant. super useful photography,0.57,0.8,1
loved this. explained so well life hack,0.96,0.75,1
could be better home decor,-0.14,0.56,0
i learned a lot! love the fashion haul,0.77,0.72,0
solid advice! love the art timelapse,0.89,0.9,0
interesting photography,-0.06,0.41,0
cute!. explained so well finance advice,0.85,0.75,1
too slow. this wont work budget meal,-0.33,0.21,1
hmm knitting,0.04,0.43,0
cute!! love the productivity,0.77,0.67,0
inspiring. this answered my question music cover,0.77,0.88,1
chefs kiss! love the skincare,0.46,0.75,0
could be better. kinda helpful for skincare,0.22,0.48,1
so good!! love the asmr,0.72,0.91,0
ill try this thrifting,0.11,0.31,0
solid advice. explained so well skincare,0.54,0.8,1
amazing content. taking notes coding,0.66,0.74,1
amazing content! love the tech unboxing,0.61,0.72,0
well explained. practical tip cooking fail,0.58,0.77,1
thanks for sharing. somewhat useful for finance advice,0.01,0.62,1
annoying. useless resume tips,-0.31,0.15,1
annoying street food,-0.74,0.3,0
chefs kiss. i can finally do this coding,0.82,0.88,1
okay i guess travel vlog,0.09,0.64,0
too slow thrifting,-0.66,0.34,0
cute!. this answered my question coding,0.97,0.88,1
wholesome. this helped a lot home decor,0.53,0.83,1
waste of time. still confused comedy skit,-0.74,0.17,1
this is gold. exactly what i needed language lesson,0.8,0.9,1
lifechanging tip. very helpful car mod,0.86,0.79,1
genius idea. i learned something new knitting,0.6,0.94,1
cute!. exactly what i needed mindfulness,0.76,0.83,1
crystal clear! love the tech unboxing,0.81,0.62,0
i didnt get it. still confused study tips,-0.8,0.01,1
low effort. no real tips knitting,-0.48,0.03,1
ill try this. kinda helpful for prank,0.1,0.4,1
impressive work. super useful life hack,0.53,0.91,1
cute!! love the nail art,0.87,0.78,0
solid advice. practical tip mindfulness,0.81,0.79,1
wholesome. practical tip cat video,0.85,0.94,1
brilliant. this helped a lot life hack,0.81,0.74,1
impressive work! love the asmr,0.85,0.68,0
this made my day. taking notes prank,0.53,0.92,1
kinda useful. kinda helpful for tech unboxing,-0.13,0.41,1
this is gold! love the productivity,0.47,0.93,0
not helpful movie recap,-0.66,0.36,0
okay i guess book review,0.25,0.65,0
loved this. practical tip parenting tip,0.96,0.95,1
genius idea. exactly what i needed science experiment,0.88,0.84,1
wholesome! love the coding,0.74,0.96,0
thanks for sharing nail art,0.1,0.42,0
lifechanging tip. bookmarked for later travel vlog,0.79,0.91,1
misleading. didnt learn anything language lesson,-0.34,0.04,1
super helpful. super useful tutorial,0.94,0.99,1
mixed feelings. somewhat useful for knitting,0.05,0.64,1
annoying car mod,-0.45,0.05,0
decent product review,0.12,0.36,0
too fast history fact,-0.45,0.02,0
cute!. bookmarked for later crypto explainer,0.52,0.96,1
chefs kiss. explained so well prank,0.56,0.88,1
annoying. zero value resume tips,-0.77,0.15,1
clickbait fashion haul,-0.39,0.35,0
wholesome. very helpful basketball highlight,0.84,0.99,1
not helpful. missing steps productivity,-0.74,0.03,1
ill try this mindfulness,-0.05,0.53,0
ill try this. somewhat useful for dance,0.24,0.5,1
well explained. practical tip language lesson,0.59,0.82,1
wholesome. i learned something new makeup,0.53,0.88,1
inspiring. bookmarked for later makeup,0.78,0.97,1
could be better. kinda helpful for basketball highlight,0.05,0.63,1
not helpful hair tutorial,-0.95,0.37,0
ill try this coding,-0.11,0.63,0
this made my day. super useful basketball highlight,0.97,0.77,1
not bad makeup,-0.15,0.38,0
very entertaining. taking notes hair tutorial,0.92,0.9,1
interesting art timelapse,-0.1,0.36,0
genius idea. practical tip mindfulness,0.87,0.82,1
cringe. no real tips coding,-0.33,0.26,1
super helpful. this helped a lot travel hack,0.56,0.77,1
crystal clear! love the cleaning hack,0.59,0.87,0
not helpful. this wont work music cover,-0.88,0.21,1
clickbait prank,-0.46,0.34,0
ill try this ai demo,0.08,0.56,0
low effort. didnt help life hack,-0.26,0.03,1
confusing cooking fail,-0.69,0.08,0
chefs kiss. helped me fix it product review,0.62,0.72,1
misleading. useless mindfulness,-0.45,0.06,1
