video_id,user_id,views,captions,subtitles,top_comments,likes,comment_count,shares,saved_count,viewer_retention_percentage
2001,1,14055,"fps, gaming",Here’s a ranked gaming match with commentary on positioning and decision making.,"Not useful at all. | Too repetitive and unoriginal. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",1195,94,89,194,37.2
2002,4,19998,"adventure, trip highlights","Join me as I explore a new city, sharing highlights and travel tips along the way.","High quality and well presented. | Great explanation, very helpful. | Amazing content, keep it up! | Loved this video! | This was super entertaining.",733,178,58,220,70.55
2003,13,4213,"funny, internet humor",This video is packed with comedy skits and internet humor for a good time.,"Disliked the presentation style. | Not useful at all. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Too repetitive and unoriginal.",220,27,16,54,64.61
2004,14,5992,"adventure, trip highlights",In this vlog I’m taking you with me on an adventure to discover amazing places.,"Interesting perspective. | This was okay overall. | Not bad, could be better. | Thanks for sharing. | I learned something new.",490,38,38,41,40.33
2005,15,16155,"soccer workout, endurance",Let’s train together! Today I’m going through a soccer workout to build stamina.,"Not bad, could be better. | This was okay overall. | I learned something new. | Interesting perspective. | Thanks for sharing.",1058,78,87,132,65.68
2006,3,21523,"comedy, funny skit",I created this comedy sketch to brighten your day and make you smile.,"Amazing content, keep it up! | Great explanation, very helpful. | This was super entertaining. | High quality and well presented. | Loved this video!",2567,88,159,189,45.03
2007,1,7194,"valorant, tips and tricks",Jump into the action with me as I play an FPS match and talk through strategies.,"Disliked the presentation style. | Not useful at all. | Too repetitive and unoriginal. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",814,57,34,72,44.65
2008,9,15975,"music cover, acoustic guitar",Watch this live music session where I share one of my favorite covers.,"Thanks for sharing. | Interesting perspective. | This was okay overall. | Not bad, could be better. | I learned something new.",698,142,71,155,63.04
2009,7,20062,"tech review, pc setup",Join me as I dive into tech tips and highlight useful Windows shortcuts.,"High quality and well presented. | Great explanation, very helpful. | This was super entertaining. | Amazing content, keep it up! | Loved this video!",1667,155,77,265,62.51
2010,9,18664,"acoustic guitar, cover song",Sit back and enjoy as I perform an acoustic guitar cover of a popular song.,"Not useful at all. | Disliked the presentation style. | Too repetitive and unoriginal. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",1729,104,63,126,65.61
2011,1,11425,"valorant, clutch gameplay",Jump into the action with me as I play an FPS match and talk through strategies. (variant 2),"This was okay overall. | Interesting perspective. | I learned something new. | Not bad, could be better. | Thanks for sharing.",483,80,67,154,40.78
2012,12,6229,"bible verse, reflection",Here’s a short Bible study where I reflect on scripture and pray with you.,"Not useful at all. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Too repetitive and unoriginal.",362,43,22,87,62.17
2013,2,15648,"bible study, scripture reading","Let’s open the Bible, read a few lines, and spend some quiet time in prayer.","High quality and well presented. | This was super entertaining. | Amazing content, keep it up! | Loved this video! | Great explanation, very helpful.",1478,150,112,90,52.44
2014,10,5964,"homemade meal, cooking guide","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating.","Amazing content, keep it up! | Loved this video! | This was super entertaining. | Great explanation, very helpful. | High quality and well presented.",663,34,22,30,47.41
2015,10,8237,"baking, kitchen tips","In this video I’m preparing a homemade dish, explaining each step so you can follow along easily.","Disliked the presentation style. | Not useful at all. | Too repetitive and unoriginal. | Poor quality, needs improvement. | Really boring, I didn't enjoy this.",500,34,50,65,61.7
2016,9,14834,"cover, guitar, music",Here’s my version of a song on guitar — hope you like the performance.,"High quality and well presented. | Great explanation, very helpful. | Amazing content, keep it up! | This was super entertaining. | Loved this video!",764,136,80,134,65.58
2017,15,7279,"fitness, soccer, training",In this fitness video I’ll demonstrate drills that improve soccer performance.,"Poor quality, needs improvement. | Not useful at all. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Too repetitive and unoriginal.",757,67,42,107,47.29
2018,14,24354,"adventure, vlog",Travel with me as I document my journey and show you the sights I visited.,"This was super entertaining. | Amazing content, keep it up! | Loved this video! | Great explanation, very helpful. | High quality and well presented.",2013,81,180,139,41.42
2019,10,18968,"baking, kitchen tips","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating. (variant 2)","Too repetitive and unoriginal. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Not useful at all.",1383,83,57,243,70.71
2020,8,13264,"makeup, skincare",Here’s a step-by-step guide to achieving this makeup look.,"Great explanation, very helpful. | This was super entertaining. | Loved this video! | Amazing content, keep it up! | High quality and well presented.",704,99,38,129,68.17
2021,4,16946,"travel diary, exploring",In this vlog I’m taking you with me on an adventure to discover amazing places. (variant 2),"Amazing content, keep it up! | Great explanation, very helpful. | High quality and well presented. | This was super entertaining. | Loved this video!",619,144,46,107,46.14
2022,6,3420,"hockey, nhl, sports",In this video I’ll discuss hockey strategies and show key sports moments.,"Not bad, could be better. | Thanks for sharing. | Interesting perspective. | This was okay overall. | I learned something new.",108,25,8,30,64.5
2023,1,12834,"fps, gaming highlights",Here’s a ranked gaming match with commentary on positioning and decision making. (variant 2),"Disliked the presentation style. | Too repetitive and unoriginal. | Poor quality, needs improvement. | Not useful at all. | Really boring, I didn't enjoy this.",1055,56,67,113,39.14
2024,8,22277,"skincare, makeup haul",In this video I’ll share a makeup tutorial with tips for beginners.,"Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Not useful at all. | Too repetitive and unoriginal.",1051,85,67,166,67.94
2025,13,4703,"jokes, memes",Laugh with me as I go through some hilarious memes and funny moments.,"Not useful at all. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Too repetitive and unoriginal. | Poor quality, needs improvement.",554,31,32,37,63.11
2026,13,4659,"comedy, funny skit",Laugh with me as I go through some hilarious memes and funny moments. (variant 2),"Not useful at all. | Disliked the presentation style. | Too repetitive and unoriginal. | Poor quality, needs improvement. | Really boring, I didn't enjoy this.",185,41,10,43,42.89
2027,3,11431,"jokes, memes","Enjoy a set of jokes, memes, and funny clips I’ve put together.","Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Too repetitive and unoriginal. | Disliked the presentation style. | Not useful at all.",808,52,49,167,46.35
2028,2,21267,"bible, prayer",Join me for a time of scripture reading and prayer together.,"This was okay overall. | I learned something new. | Interesting perspective. | Thanks for sharing. | Not bad, could be better.",1393,75,103,204,56.84
2029,8,11043,"makeup tutorial, beauty tips",I’m sharing my favorite skincare hacks and beauty advice in today’s video.,"Great explanation, very helpful. | This was super entertaining. | Amazing content, keep it up! | High quality and well presented. | Loved this video!",562,76,36,160,48.45
2030,15,10292,"soccer workout, endurance",This training session covers soccer practice routines you can try yourself.,"This was okay overall. | Interesting perspective. | Not bad, could be better. | Thanks for sharing. | I learned something new.",1002,45,43,55,61.77
2031,15,12294,"soccer drills, fitness",Let’s train together! Today I’m going through a soccer workout to build stamina. (variant 2),"Interesting perspective. | Not bad, could be better. | I learned something new. | This was okay overall. | Thanks for sharing.",1081,43,41,70,56.73
2032,3,20864,"comedy, meme",This video is packed with comedy skits and internet humor for a good time. (variant 2),"Not useful at all. | Too repetitive and unoriginal. | Poor quality, needs improvement. | Really boring, I didn't enjoy this. | Disliked the presentation style.",1989,176,77,110,43.25
2033,14,24081,"travel diary, exploring",Travel with me as I document my journey and show you the sights I visited. (variant 2),"Amazing content, keep it up! | Great explanation, very helpful. | Loved this video! | This was super entertaining. | High quality and well presented.",902,211,182,281,57.35
2034,14,12012,"adventure, trip highlights","Join me as I explore a new city, sharing highlights and travel tips along the way. (variant 2)","Really boring, I didn't enjoy this. | Not useful at all. | Poor quality, needs improvement. | Too repetitive and unoriginal. | Disliked the presentation style.",742,70,54,87,36.49
2035,15,7825,"soccer workout, endurance",I’m sharing a fitness guide that mixes soccer drills with overall conditioning.,"Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Too repetitive and unoriginal. | Not useful at all.",601,40,34,84,39.91
2036,12,24734,"bible verse, reflection",In this devotion I’ll share a verse and then guide a prayer session for encouragement.,"Interesting perspective. | This was okay overall. | Thanks for sharing. | Not bad, could be better. | I learned something new.",1692,122,140,320,41.64
2037,1,24017,"fps, gaming highlights",Jump into the action with me as I play an FPS match and talk through strategies. (variant 3),"Not bad, could be better. | I learned something new. | Interesting perspective. | Thanks for sharing. | This was okay overall.",808,133,144,200,48.38
2038,12,11942,"bible study, scripture reading",Today we’ll read a passage from the Bible and reflect on its meaning in our lives.,"Amazing content, keep it up! | Great explanation, very helpful. | This was super entertaining. | High quality and well presented. | Loved this video!",567,84,71,89,36.42
2039,9,6314,"music cover, acoustic guitar",Sit back and enjoy as I perform an acoustic guitar cover of a popular song. (variant 2),"Really boring, I didn't enjoy this. | Not useful at all. | Disliked the presentation style. | Too repetitive and unoriginal. | Poor quality, needs improvement.",726,42,16,77,68.55
2040,3,19834,"jokes, memes",Here’s a funny compilation of memes that had me laughing nonstop.,"Great explanation, very helpful. | Amazing content, keep it up! | This was super entertaining. | Loved this video! | High quality and well presented.",885,109,109,194,44.38
2041,5,5109,"fitness tips, soccer practice",Let’s train together! Today I’m going through a soccer workout to build stamina. (variant 3),"Disliked the presentation style. | Really boring, I didn't enjoy this. | Too repetitive and unoriginal. | Poor quality, needs improvement. | Not useful at all.",545,38,33,33,45.47
2042,7,17677,"tech, computer guide",This video explains a step-by-step PC guide for better productivity.,"Too repetitive and unoriginal. | Poor quality, needs improvement. | Really boring, I didn't enjoy this. | Not useful at all. | Disliked the presentation style.",1838,137,120,104,49.15
2043,10,7945,"easy dinner, food tutorial",Let’s bake and cook together — I’ll show you a simple way to create a delicious meal.,"Amazing content, keep it up! | Loved this video! | This was super entertaining. | High quality and well presented. | Great explanation, very helpful.",518,55,44,98,68.93
2044,4,24761,"travel diary, exploring","Join me as I explore a new city, sharing highlights and travel tips along the way. (variant 3)","Thanks for sharing. | This was okay overall. | Interesting perspective. | I learned something new. | Not bad, could be better.",1783,141,69,337,48.31
2045,4,14366,"travel diary, exploring",Here’s a travel diary where I share experiences from my recent trip.,"Great explanation, very helpful. | Loved this video! | This was super entertaining. | High quality and well presented. | Amazing content, keep it up!",1496,106,36,200,51.09
2046,2,3930,"bible, prayer",Here’s a short Bible study where I reflect on scripture and pray with you. (variant 2),"High quality and well presented. | Loved this video! | Great explanation, very helpful. | Amazing content, keep it up! | This was super entertaining.",359,28,15,40,46.45
2047,14,21842,"adventure, trip highlights",Come along on this adventure as I explore nature and cultural spots.,"I learned something new. | This was okay overall. | Thanks for sharing. | Not bad, could be better. | Interesting perspective.",2301,118,165,143,70.17
2048,4,22818,"adventure, trip highlights",Travel with me as I document my journey and show you the sights I visited. (variant 3),"This was super entertaining. | Great explanation, very helpful. | Amazing content, keep it up! | High quality and well presented. | Loved this video!",2240,117,110,166,48.77
2049,10,11091,"home cooking, delicious recipe","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating. (variant 3)","This was super entertaining. | Amazing content, keep it up! | Loved this video! | Great explanation, very helpful. | High quality and well presented.",1023,76,82,106,38.92
2050,2,19077,"bible verse, reflection",Here’s a short Bible study where I reflect on scripture and pray with you. (variant 3),"I learned something new. | Interesting perspective. | Not bad, could be better. | This was okay overall. | Thanks for sharing.",2140,139,91,258,59.03
2051,13,24613,"funny, meme compilation",I created this comedy sketch to brighten your day and make you smile. (variant 2),"Thanks for sharing. | I learned something new. | Interesting perspective. | This was okay overall. | Not bad, could be better.",2561,179,161,283,61.08
2052,1,15238,"valorant, clutch gameplay",Jump into the action with me as I play an FPS match and talk through strategies. (variant 4),"Thanks for sharing. | This was okay overall. | I learned something new. | Not bad, could be better. | Interesting perspective.",703,87,75,118,49.03
2053,7,11768,"tech, computer guide",I’ll show you how to optimize your computer and explore new software features.,"Interesting perspective. | Thanks for sharing. | I learned something new. | Not bad, could be better. | This was okay overall.",1145,82,74,148,43.4
2054,9,10003,"music cover, acoustic guitar",In this video I’ll play a guitar cover and talk about why I love this piece.,"High quality and well presented. | Great explanation, very helpful. | Loved this video! | Amazing content, keep it up! | This was super entertaining.",378,99,39,94,50.32
2055,12,22877,"bible study, scripture reading",In this devotion I’ll share a verse and then guide a prayer session for encouragement. (variant 2),"Too repetitive and unoriginal. | Not useful at all. | Disliked the presentation style. | Poor quality, needs improvement. | Really boring, I didn't enjoy this.",1563,137,168,339,51.37
2056,14,20266,"adventure, trip highlights",Come along on this adventure as I explore nature and cultural spots. (variant 2),"Thanks for sharing. | This was okay overall. | Not bad, could be better. | Interesting perspective. | I learned something new.",1332,180,73,188,70.84
2057,14,3752,"journey, travel guide","Join me as I explore a new city, sharing highlights and travel tips along the way. (variant 4)","High quality and well presented. | This was super entertaining. | Great explanation, very helpful. | Loved this video! | Amazing content, keep it up!",181,13,8,50,66.05
2058,13,8005,"jokes, memes",I created this comedy sketch to brighten your day and make you smile. (variant 3),"Interesting perspective. | I learned something new. | This was okay overall. | Thanks for sharing. | Not bad, could be better.",916,73,51,41,57.73
2059,8,15547,"makeup tutorial, beauty tips",In this video I’ll share a makeup tutorial with tips for beginners. (variant 2),"Poor quality, needs improvement. | Not useful at all. | Really boring, I didn't enjoy this. | Disliked the presentation style. | Too repetitive and unoriginal.",599,149,94,189,42.79
2060,8,6285,"beauty, skincare routine",Here’s a step-by-step guide to achieving this makeup look. (variant 2),"This was super entertaining. | Loved this video! | Amazing content, keep it up! | Great explanation, very helpful. | High quality and well presented.",191,30,37,56,60.08
2061,15,12713,"fitness tips, soccer practice",Follow along as I do exercises focused on strength and endurance for athletes.,"Really boring, I didn't enjoy this. | Disliked the presentation style. | Too repetitive and unoriginal. | Not useful at all. | Poor quality, needs improvement.",751,39,78,127,62.56
2062,9,19502,"music cover, acoustic guitar",Watch this live music session where I share one of my favorite covers. (variant 2),"Great explanation, very helpful. | Loved this video! | This was super entertaining. | High quality and well presented. | Amazing content, keep it up!",2324,124,108,136,38.64
2063,2,24260,"bible study, scripture reading",In this devotion I’ll share a verse and then guide a prayer session for encouragement. (variant 3),"Loved this video! | This was super entertaining. | Amazing content, keep it up! | High quality and well presented. | Great explanation, very helpful.",1306,104,65,347,49.28
2064,14,3152,"journey, travel guide",In this vlog I’m taking you with me on an adventure to discover amazing places. (variant 3),"Amazing content, keep it up! | Great explanation, very helpful. | High quality and well presented. | Loved this video! | This was super entertaining.",330,31,19,22,47.44
2065,7,6613,"tech review, pc setup",In this tutorial I’ll share useful Windows tips and tricks for your PC.,"Not bad, could be better. | Thanks for sharing. | I learned something new. | Interesting perspective. | This was okay overall.",301,61,13,70,55.97
2066,10,12183,"cooking, food, recipe",Welcome to my kitchen! Today I’ll guide you through a recipe and share some personal cooking tips.,"This was super entertaining. | High quality and well presented. | Loved this video! | Amazing content, keep it up! | Great explanation, very helpful.",1008,118,38,134,58.86
2067,14,8691,"journey, travel guide","Join me as I explore a new city, sharing highlights and travel tips along the way. (variant 5)","Not bad, could be better. | I learned something new. | Thanks for sharing. | Interesting perspective. | This was okay overall.",1010,63,39,118,42.35
2068,13,19707,"funny, meme compilation","Enjoy a set of jokes, memes, and funny clips I’ve put together. (variant 2)","This was super entertaining. | High quality and well presented. | Loved this video! | Amazing content, keep it up! | Great explanation, very helpful.",1862,130,84,191,52.44
2069,8,12626,"beauty hacks, skincare tips",I’m sharing my favorite skincare hacks and beauty advice in today’s video. (variant 2),"Loved this video! | This was super entertaining. | Amazing content, keep it up! | Great explanation, very helpful. | High quality and well presented.",1493,111,34,168,70.73
2070,13,17377,"jokes, memes",This video is packed with comedy skits and internet humor for a good time. (variant 3),"High quality and well presented. | This was super entertaining. | Great explanation, very helpful. | Loved this video! | Amazing content, keep it up!",1420,131,79,178,36.55
2071,3,11099,"funny, internet humor",I created this comedy sketch to brighten your day and make you smile. (variant 4),"Interesting perspective. | I learned something new. | Not bad, could be better. | This was okay overall. | Thanks for sharing.",1315,53,64,162,48.98
2072,1,24658,"gaming, ranked match",Jump into the action with me as I play an FPS match and talk through strategies. (variant 5),"Interesting perspective. | I learned something new. | Thanks for sharing. | Not bad, could be better. | This was okay overall.",2597,235,105,300,47.7
2073,15,20370,"fitness, soccer, training",Follow along as I do exercises focused on strength and endurance for athletes. (variant 2),"Too repetitive and unoriginal. | Disliked the presentation style. | Not useful at all. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",2038,124,127,288,50.2
2074,6,20924,"sports, hockey recap",I’m reviewing hockey plays and sharing my perspective as a fan.,"Amazing content, keep it up! | High quality and well presented. | Great explanation, very helpful. | Loved this video! | This was super entertaining.",2301,176,71,302,66.42
2075,7,4086,"tech review, pc setup",This video explains a step-by-step PC guide for better productivity. (variant 2),"I learned something new. | Interesting perspective. | This was okay overall. | Thanks for sharing. | Not bad, could be better.",355,27,12,53,51.34
2076,11,11754,"valorant, clutch gameplay",Watch this intense Valorant gameplay where I break down how I won clutch rounds.,"Not bad, could be better. | I learned something new. | Thanks for sharing. | This was okay overall. | Interesting perspective.",730,50,76,73,66.91
2077,11,23392,"fps, gaming",In this session I’ll share tips and tricks for improving aim and movement in FPS games.,"Too repetitive and unoriginal. | Disliked the presentation style. | Not useful at all. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",1814,119,141,146,56.14
2078,8,17008,"beauty, skincare routine",Watch me go through my skincare routine and explain why I use these products.,"This was super entertaining. | Great explanation, very helpful. | Amazing content, keep it up! | Loved this video! | High quality and well presented.",857,119,78,190,50.86
2079,6,15256,"sports highlights, hockey",Here are some hockey highlights and my take on recent NHL games.,"Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Not useful at all. | Too repetitive and unoriginal.",1525,61,43,118,44.83
2080,6,8234,"nhl game, hockey analysis",Here are some hockey highlights and my take on recent NHL games. (variant 2),"Loved this video! | High quality and well presented. | Amazing content, keep it up! | Great explanation, very helpful. | This was super entertaining.",373,25,49,73,64.83
2081,9,11606,"music cover, acoustic guitar",I’m performing a guitar cover and adding my own style to the music.,"I learned something new. | Interesting perspective. | Not bad, could be better. | Thanks for sharing. | This was okay overall.",951,70,75,78,58.55
2082,5,4325,"soccer workout, endurance",Let’s train together! Today I’m going through a soccer workout to build stamina. (variant 4),"Amazing content, keep it up! | Loved this video! | High quality and well presented. | This was super entertaining. | Great explanation, very helpful.",338,36,13,55,43.43
2083,10,24839,"cooking, food, recipe","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating. (variant 4)","Too repetitive and unoriginal. | Not useful at all. | Disliked the presentation style. | Really boring, I didn't enjoy this. | Poor quality, needs improvement.",2247,181,152,336,40.55
2084,10,4442,"homemade meal, cooking guide","In this video I’m preparing a homemade dish, explaining each step so you can follow along easily. (variant 2)","Thanks for sharing. | Not bad, could be better. | This was okay overall. | I learned something new. | Interesting perspective.",437,23,18,28,40.39
2085,11,20066,"fps, gaming",Watch this intense Valorant gameplay where I break down how I won clutch rounds. (variant 2),"Poor quality, needs improvement. | Not useful at all. | Really boring, I didn't enjoy this. | Disliked the presentation style. | Too repetitive and unoriginal.",800,161,150,204,67.82
2086,5,7826,"soccer drills, fitness",Follow along as I do exercises focused on strength and endurance for athletes. (variant 3),"Great explanation, very helpful. | This was super entertaining. | Amazing content, keep it up! | High quality and well presented. | Loved this video!",675,50,51,70,50.12
2087,8,3587,"skincare, makeup haul",I’m sharing my favorite skincare hacks and beauty advice in today’s video. (variant 3),"High quality and well presented. | Great explanation, very helpful. | Loved this video! | This was super entertaining. | Amazing content, keep it up!",241,36,13,46,64.71
2088,5,9105,"strength training, soccer",Follow along as I do exercises focused on strength and endurance for athletes. (variant 4),"Interesting perspective. | Not bad, could be better. | I learned something new. | Thanks for sharing. | This was okay overall.",776,77,69,88,67.34
2089,10,24461,"baking, kitchen tips","Here’s a cooking tutorial where I walk you through ingredients, preparation, and plating. (variant 5)","Not bad, could be better. | Thanks for sharing. | I learned something new. | Interesting perspective. | This was okay overall.",2262,216,53,301,43.92
2090,7,4853,"tech review, pc setup",This video explains a step-by-step PC guide for better productivity. (variant 3),"Really boring, I didn't enjoy this. | Not useful at all. | Too repetitive and unoriginal. | Poor quality, needs improvement. | Disliked the presentation style.",401,23,15,52,37.14
2091,9,14641,"acoustic guitar, cover song",I’m performing a guitar cover and adding my own style to the music. (variant 2),"This was okay overall. | Thanks for sharing. | I learned something new. | Not bad, could be better. | Interesting perspective.",1405,60,51,216,42.31
2092,14,3537,"travel diary, exploring",Here’s a travel diary where I share experiences from my recent trip. (variant 2),"High quality and well presented. | Loved this video! | Amazing content, keep it up! | Great explanation, very helpful. | This was super entertaining.",272,16,23,33,63.05
2093,12,18255,"bible study, scripture reading",Today we’ll read a passage from the Bible and reflect on its meaning in our lives. (variant 2),"Not useful at all. | Really boring, I didn't enjoy this. | Too repetitive and unoriginal. | Disliked the presentation style. | Poor quality, needs improvement.",1308,110,94,272,36.54
2094,1,21240,"gaming, ranked match",Jump into the action with me as I play an FPS match and talk through strategies. (variant 6),"High quality and well presented. | Loved this video! | Great explanation, very helpful. | Amazing content, keep it up! | This was super entertaining.",1185,140,102,194,55.74
2095,4,20320,"journey, travel guide",Here’s a travel diary where I share experiences from my recent trip. (variant 3),"Great explanation, very helpful. | Amazing content, keep it up! | High quality and well presented. | This was super entertaining. | Loved this video!",1029,89,68,139,42.69
2096,7,7776,"pc, tech, windows",This video explains a step-by-step PC guide for better productivity. (variant 4),"Not useful at all. | Disliked the presentation style. | Poor quality, needs improvement. | Too repetitive and unoriginal. | Really boring, I didn't enjoy this.",720,66,51,100,62.83
2097,12,4319,"bible, prayer",In this devotion I’ll share a verse and then guide a prayer session for encouragement. (variant 4),"Great explanation, very helpful. | Loved this video! | Amazing content, keep it up! | High quality and well presented. | This was super entertaining.",400,39,12,33,52.78
2098,12,17409,"christian, prayer session",Join me for a time of scripture reading and prayer together. (variant 2),"High quality and well presented. | Great explanation, very helpful. | This was super entertaining. | Loved this video! | Amazing content, keep it up!",829,91,61,186,55.22
2099,11,6142,"valorant, clutch gameplay",Here’s a ranked gaming match with commentary on positioning and decision making. (variant 3),"Too repetitive and unoriginal. | Really boring, I didn't enjoy this. | Not useful at all. | Disliked the presentation style. | Poor quality, needs improvement.",721,40,42,70,46.27
2100,7,12463,"software tutorial, windows",Here’s a tech review where I go over setup and performance improvements.,"Disliked the presentation style. | Not useful at all. | Really boring, I didn't enjoy this. | Poor quality, needs improvement. | Too repetitive and unoriginal.",1127,89,59,87,51.98
