video_id,user_id,comment,sentiment_score
1,7001,"Solid attempt, could improve",0.43
2,7002,"Felt dragged out, lost me halfway",0.37
3,7003,"Unwatchable, I had to scroll",0.12
4,7004,Lowkey the best thing on my FYP today,0.98
5,7005,"Unwatchable, I had to scroll",0.09
6,7006,Pretty mid but not terrible,0.52
7,7007,"The audio was rough, couldn’t listen",0.04
8,7008,"Super basic, nothing new",0.31
9,7009,"Highkey useful, tysm",0.69
10,7010,"Not bad, not great either",0.49
11,7011,Main character energy right here,0.71
12,7012,Pretty mid but not terrible,0.46
13,7013,"Solid attempt, could improve",0.5
14,7014,"Felt dragged out, lost me halfway",0.39
15,7015,"It’s okay, seen better",0.47
16,7016,"Alright I guess, nothing new",0.43
17,7017,Pretty mid but not terrible,0.56
18,7018,"Solid attempt, could improve",0.42
19,7019,"Highkey useful, tysm",0.62
20,7020,"Solid attempt, could improve",0.46
21,7021,"Solid attempt, could improve",0.41
22,7022,"Highkey useful, tysm",0.65
23,7023,Worst thing on my FYP today,0.14
24,7024,"Real talent, keep posting",0.86
25,7025,Pretty mid but not terrible,0.5
26,7026,The editing was on point fr,0.69
27,7027,The editing was on point fr,0.68
28,7028,"Meh, it’s fine I guess",0.44
29,7029,Bro thought he ate,0.34
30,7030,"Loved every second, pure vibes",0.93
31,7031,"Unwatchable, I had to scroll",0.08
32,7032,"Solid attempt, could improve",0.57
33,7033,"Average content, nothing special",0.42
34,7034,"Real talent, keep posting",0.9
35,7035,"This actually ate, no crumbs",0.87
36,7036,"This actually ate, no crumbs",0.93
37,7037,"Highkey useful, tysm",0.66
38,7038,"Loved every second, pure vibes",0.96
39,7039,Some effort but not memorable,0.52
40,7040,Main character energy right here,0.75
41,7041,Some effort but not memorable,0.58
42,7042,Worst thing on my FYP today,0.03
43,7043,"This was so clean, respect",0.86
44,7044,"Meh, it’s fine I guess",0.46
45,7045,"Average content, nothing special",0.51
46,7046,"Painful edit, not it",0.0
47,7047,Okay-ish but kinda bland,0.52
48,7048,"Meh, it’s fine I guess",0.46
49,7049,Lowkey the best thing on my FYP today,0.94
50,7050,Lowkey the best thing on my FYP today,0.85
51,7051,Okay-ish but kinda bland,0.45
52,7052,"Loved every second, pure vibes",0.8
53,7053,"Highkey useful, tysm",0.78
54,7054,"Clear explanation, easy to follow",0.68
55,7055,"This was so clean, respect",0.92
56,7056,"Unwatchable, I had to scroll",0.19
57,7057,Pretty mid but not terrible,0.44
58,7058,This was kinda mid ngl,0.35
59,7059,"This actually ate, no crumbs",0.88
60,7060,Couldn’t finish this one,0.14
61,7061,The editing was on point fr,0.6
62,7062,"Painful edit, not it",0.19
63,7063,Neutral on this topic,0.51
64,7064,The editing was on point fr,0.64
65,7065,"Meh, it’s fine I guess",0.45
66,7066,Production felt so cheap,0.0
67,7067,Couldn’t finish this one,0.18
68,7068,"Super basic, nothing new",0.24
69,7069,Couldn’t finish this one,0.19
70,7070,Main character energy right here,0.75
71,7071,Okay-ish but kinda bland,0.56
72,7072,"Alright I guess, nothing new",0.52
73,7073,"Not bad, not great either",0.54
74,7074,"It’s okay, seen better",0.52
75,7075,Pretty mid but not terrible,0.43
76,7076,"Painful edit, not it",0.06
77,7077,"Painful edit, not it",0.15
78,7078,Lowkey the best thing on my FYP today,0.88
79,7079,Worst thing on my FYP today,0.17
80,7080,"Highkey useful, tysm",0.64
81,7081,The editing was on point fr,0.6
82,7082,"Real talent, keep posting",0.98
83,7083,Some effort but not memorable,0.49
84,7084,Couldn’t finish this one,0.12
85,7085,"Felt dragged out, lost me halfway",0.26
86,7086,"Painful edit, not it",0.18
87,7087,The editing was on point fr,0.7
88,7088,Lowkey the best thing on my FYP today,0.93
89,7089,"Loved every second, pure vibes",0.93
90,7090,"Clear explanation, easy to follow",0.61
91,7091,"Solid attempt, could improve",0.49
92,7092,"This actually ate, no crumbs",0.94
93,7093,"Meh, it’s fine I guess",0.41
94,7094,"Clear explanation, easy to follow",0.72
95,7095,"Alright I guess, nothing new",0.56
96,7096,Couldn’t finish this one,0.13
97,7097,"Loved every second, pure vibes",0.92
98,7098,Neutral on this topic,0.55
99,7099,"Not bad, not great either",0.47
100,7100,This was kinda mid ngl,0.22
101,7101,Some effort but not memorable,0.42
102,7102,Lowkey the best thing on my FYP today,0.99
103,7103,"The audio was rough, couldn’t listen",0.11
104,7104,Main character energy right here,0.63
105,7105,"Loved every second, pure vibes",0.87
106,7106,"Solid attempt, could improve",0.51
107,7107,"Meh, it’s fine I guess",0.47
108,7108,This was kinda mid ngl,0.29
109,7109,"It’s okay, seen better",0.49
110,7110,Main character energy right here,0.76
111,7111,"Highkey useful, tysm",0.77
112,7112,"Highkey useful, tysm",0.74
113,7113,"Unwatchable, I had to scroll",0.07
114,7114,"Not bad, not great either",0.55
115,7115,This was kinda mid ngl,0.39
116,7116,"Solid attempt, could improve",0.49
117,7117,Bro thought he ate,0.3
118,7118,"Clear explanation, easy to follow",0.7
119,7119,Main character energy right here,0.64
120,7120,Neutral on this topic,0.47
121,7121,"It’s okay, seen better",0.47
122,7122,Main character energy right here,0.69
123,7123,"Real talent, keep posting",0.81
124,7124,Production felt so cheap,0.17
125,7125,"This was so clean, respect",0.99
126,7126,Okay-ish but kinda bland,0.55
127,7127,"Clear explanation, easy to follow",0.74
128,7128,"It’s okay, seen better",0.53
129,7129,Neutral on this topic,0.54
130,7130,"Clear explanation, easy to follow",0.7
131,7131,This was kinda mid ngl,0.25
132,7132,"Average content, nothing special",0.56
133,7133,"Clear explanation, easy to follow",0.67
134,7134,Okay-ish but kinda bland,0.52
135,7135,Production felt so cheap,0.08
136,7136,Production felt so cheap,0.0
137,7137,"Painful edit, not it",0.13
138,7138,"Loved every second, pure vibes",0.84
139,7139,Production felt so cheap,0.09
140,7140,Production felt so cheap,0.16
141,7141,"Alright I guess, nothing new",0.48
142,7142,"Not bad, not great either",0.44
143,7143,Neutral on this topic,0.52
144,7144,"This actually ate, no crumbs",0.85
145,7145,"Loved every second, pure vibes",1.0
146,7146,"Felt dragged out, lost me halfway",0.26
147,7147,Worst thing on my FYP today,0.2
148,7148,Pretty mid but not terrible,0.55
149,7149,Worst thing on my FYP today,0.15
150,7150,"It’s okay, seen better",0.54
151,7151,The editing was on point fr,0.71
152,7152,"This was so clean, respect",0.86
153,7153,"The audio was rough, couldn’t listen",0.17
154,7154,"Felt dragged out, lost me halfway",0.24
155,7155,"Unwatchable, I had to scroll",0.04
156,7156,"It’s okay, seen better",0.54
157,7157,Worst thing on my FYP today,0.13
158,7158,"Average content, nothing special",0.41
159,7159,"This actually ate, no crumbs",0.9
160,7160,"This is next level, wow",0.99
161,7161,"Unwatchable, I had to scroll",0.17
162,7162,"This was so clean, respect",0.81
163,7163,This was kinda mid ngl,0.38
164,7164,"Solid attempt, could improve",0.46
165,7165,Production felt so cheap,0.19
166,7166,Bro thought he ate,0.35
167,7167,"Loved every second, pure vibes",0.84
168,7168,Neutral on this topic,0.42
169,7169,"Unwatchable, I had to scroll",0.14
170,7170,"Highkey useful, tysm",0.7
171,7171,"This is next level, wow",0.84
172,7172,Worst thing on my FYP today,0.07
173,7173,"Highkey useful, tysm",0.76
174,7174,Main character energy right here,0.64
175,7175,"The audio was rough, couldn’t listen",0.16
176,7176,"Super basic, nothing new",0.26
177,7177,The editing was on point fr,0.71
178,7178,This was kinda mid ngl,0.29
179,7179,Okay-ish but kinda bland,0.52
180,7180,Some effort but not memorable,0.57
181,7181,"Real talent, keep posting",0.9
182,7182,"This actually ate, no crumbs",0.84
183,7183,"Solid attempt, could improve",0.59
184,7184,Some effort but not memorable,0.49
185,7185,"Painful edit, not it",0.14
186,7186,"Highkey useful, tysm",0.71
187,7187,Okay-ish but kinda bland,0.45
188,7188,"Highkey useful, tysm",0.66
189,7189,Lowkey the best thing on my FYP today,0.89
190,7190,"Not bad, not great either",0.58
191,7191,"This actually ate, no crumbs",0.86
192,7192,The editing was on point fr,0.73
193,7193,"Felt dragged out, lost me halfway",0.21
194,7194,"Solid attempt, could improve",0.5
195,7195,"Felt dragged out, lost me halfway",0.29
196,7196,"Loved every second, pure vibes",0.88
197,7197,"The audio was rough, couldn’t listen",0.09
198,7198,"Alright I guess, nothing new",0.43
199,7199,Main character energy right here,0.66
200,7200,Pretty mid but not terrible,0.44
201,7201,Production felt so cheap,0.1
202,7202,This was kinda mid ngl,0.34
203,7203,This was kinda mid ngl,0.3
204,7204,Main character energy right here,0.63
205,7205,Okay-ish but kinda bland,0.41
206,7206,Pretty mid but not terrible,0.53
207,7207,"Solid attempt, could improve",0.47
208,7208,Okay-ish but kinda bland,0.48
209,7209,Main character energy right here,0.78
210,7210,"Unwatchable, I had to scroll",0.04
211,7211,"Not bad, not great either",0.43
212,7212,Lowkey the best thing on my FYP today,0.99
213,7213,Pretty mid but not terrible,0.44
214,7214,"Average content, nothing special",0.52
215,7215,"This was so clean, respect",0.92
216,7216,"It’s okay, seen better",0.45
217,7217,"Clear explanation, easy to follow",0.67
218,7218,"Loved every second, pure vibes",0.99
219,7219,"Loved every second, pure vibes",0.88
220,7220,"Painful edit, not it",0.1
221,7221,"Average content, nothing special",0.57
222,7222,"Clear explanation, easy to follow",0.65
223,7223,This was kinda mid ngl,0.23
224,7224,Some effort but not memorable,0.42
225,7225,"Solid attempt, could improve",0.58
226,7226,"This was so clean, respect",0.98
227,7227,"Alright I guess, nothing new",0.45
228,7228,Couldn’t finish this one,0.04
229,7229,Worst thing on my FYP today,0.16
230,7230,"Loved every second, pure vibes",0.99
231,7231,Some effort but not memorable,0.42
232,7232,"Clear explanation, easy to follow",0.75
233,7233,Bro thought he ate,0.3
234,7234,The editing was on point fr,0.63
235,7235,The editing was on point fr,0.7
236,7236,Lowkey the best thing on my FYP today,0.86
237,7237,"It’s okay, seen better",0.52
238,7238,Lowkey the best thing on my FYP today,0.85
239,7239,Pretty mid but not terrible,0.48
240,7240,This was kinda mid ngl,0.25
241,7241,Some effort but not memorable,0.48
242,7242,Bro thought he ate,0.22
243,7243,"Average content, nothing special",0.51
244,7244,"It’s okay, seen better",0.52
245,7245,"Loved every second, pure vibes",0.9
246,7246,"Felt dragged out, lost me halfway",0.22
247,7247,"Unwatchable, I had to scroll",0.03
248,7248,Lowkey the best thing on my FYP today,0.89
249,7249,"Solid attempt, could improve",0.53
250,7250,"Meh, it’s fine I guess",0.57
251,7251,"Meh, it’s fine I guess",0.44
252,7252,"It’s okay, seen better",0.51
253,7253,"It’s okay, seen better",0.46
254,7254,"Meh, it’s fine I guess",0.56
255,7255,"Felt dragged out, lost me halfway",0.26
256,7256,Pretty mid but not terrible,0.45
257,7257,"Highkey useful, tysm",0.61
258,7258,"Alright I guess, nothing new",0.52
259,7259,"Super basic, nothing new",0.28
260,7260,"Solid attempt, could improve",0.45
261,7261,Some effort but not memorable,0.42
262,7262,Neutral on this topic,0.49
263,7263,"The audio was rough, couldn’t listen",0.02
264,7264,"Felt dragged out, lost me halfway",0.34
265,7265,"Super basic, nothing new",0.32
266,7266,"Unwatchable, I had to scroll",0.16
267,7267,"Highkey useful, tysm",0.74
268,7268,This was kinda mid ngl,0.31
269,7269,Some effort but not memorable,0.58
270,7270,Main character energy right here,0.75
271,7271,"Not bad, not great either",0.41
272,7272,"Alright I guess, nothing new",0.58
273,7273,"Real talent, keep posting",0.85
274,7274,"This was so clean, respect",0.86
275,7275,"Felt dragged out, lost me halfway",0.26
276,7276,"This actually ate, no crumbs",0.85
277,7277,"Unwatchable, I had to scroll",0.06
278,7278,Couldn’t finish this one,0.08
279,7279,"Real talent, keep posting",0.96
280,7280,"This was so clean, respect",0.94
281,7281,Main character energy right here,0.61
282,7282,"Unwatchable, I had to scroll",0.19
283,7283,"Average content, nothing special",0.52
284,7284,This was kinda mid ngl,0.3
285,7285,Neutral on this topic,0.51
286,7286,"Meh, it’s fine I guess",0.58
287,7287,This was kinda mid ngl,0.34
288,7288,"Not bad, not great either",0.51
289,7289,"Painful edit, not it",0.05
290,7290,Worst thing on my FYP today,0.15
291,7291,"Unwatchable, I had to scroll",0.0
292,7292,"Felt dragged out, lost me halfway",0.36
293,7293,"Felt dragged out, lost me halfway",0.29
294,7294,"This was so clean, respect",1.0
295,7295,"Solid attempt, could improve",0.5
296,7296,Production felt so cheap,0.12
297,7297,Bro thought he ate,0.31
298,7298,Pretty mid but not terrible,0.44
299,7299,This was kinda mid ngl,0.4
300,7300,"Not bad, not great either",0.55
301,7301,"Painful edit, not it",0.1
302,7302,Production felt so cheap,0.08
303,7303,"Highkey useful, tysm",0.6
304,7304,"It’s okay, seen better",0.56
305,7305,"Painful edit, not it",0.15
306,7306,"Solid attempt, could improve",0.55
307,7307,"This actually ate, no crumbs",0.98
308,7308,Some effort but not memorable,0.44
309,7309,Main character energy right here,0.66
310,7310,Neutral on this topic,0.57
311,7311,Production felt so cheap,0.16
312,7312,"Highkey useful, tysm",0.75
313,7313,"Loved every second, pure vibes",0.98
314,7314,"Highkey useful, tysm",0.64
315,7315,"Painful edit, not it",0.16
316,7316,Couldn’t finish this one,0.13
317,7317,"Alright I guess, nothing new",0.49
318,7318,"Highkey useful, tysm",0.78
319,7319,"Solid attempt, could improve",0.57
320,7320,Okay-ish but kinda bland,0.42
321,7321,"Unwatchable, I had to scroll",0.14
322,7322,"This is next level, wow",0.98
323,7323,Some effort but not memorable,0.53
324,7324,"This actually ate, no crumbs",0.86
325,7325,Couldn’t finish this one,0.06
326,7326,The editing was on point fr,0.62
327,7327,"Felt dragged out, lost me halfway",0.3
328,7328,Pretty mid but not terrible,0.44
329,7329,Some effort but not memorable,0.54
330,7330,Main character energy right here,0.68
331,7331,"This actually ate, no crumbs",0.85
332,7332,"This was so clean, respect",0.84
333,7333,This was kinda mid ngl,0.28
334,7334,"Meh, it’s fine I guess",0.44
335,7335,Some effort but not memorable,0.48
336,7336,"Alright I guess, nothing new",0.52
337,7337,Neutral on this topic,0.49
338,7338,Couldn’t finish this one,0.08
339,7339,Neutral on this topic,0.53
340,7340,Neutral on this topic,0.44
341,7341,"Solid attempt, could improve",0.47
342,7342,Okay-ish but kinda bland,0.42
343,7343,"Felt dragged out, lost me halfway",0.3
344,7344,Neutral on this topic,0.57
345,7345,The editing was on point fr,0.77
346,7346,"It’s okay, seen better",0.47
347,7347,"Super basic, nothing new",0.39
348,7348,Couldn’t finish this one,0.1
349,7349,Neutral on this topic,0.41
350,7350,"The audio was rough, couldn’t listen",0.2
351,7351,"Meh, it’s fine I guess",0.54
352,7352,This was kinda mid ngl,0.29
353,7353,"Solid attempt, could improve",0.46
354,7354,Bro thought he ate,0.35
355,7355,Some effort but not memorable,0.51
356,7356,"The audio was rough, couldn’t listen",0.2
357,7357,"Painful edit, not it",0.04
358,7358,Couldn’t finish this one,0.16
359,7359,"Real talent, keep posting",0.93
360,7360,"This actually ate, no crumbs",0.86
361,7361,The editing was on point fr,0.68
362,7362,Neutral on this topic,0.47
363,7363,"Real talent, keep posting",0.88
364,7364,Production felt so cheap,0.16
365,7365,"Real talent, keep posting",0.97
366,7366,"Not bad, not great either",0.52
367,7367,Pretty mid but not terrible,0.5
368,7368,Bro thought he ate,0.3
369,7369,"This was so clean, respect",0.99
370,7370,"The audio was rough, couldn’t listen",0.19
371,7371,This was kinda mid ngl,0.4
372,7372,"Average content, nothing special",0.46
373,7373,"Alright I guess, nothing new",0.52
374,7374,"This is next level, wow",0.92
375,7375,Neutral on this topic,0.56
376,7376,"Meh, it’s fine I guess",0.49
377,7377,Main character energy right here,0.73
378,7378,"This actually ate, no crumbs",0.92
379,7379,"This actually ate, no crumbs",0.96
380,7380,"This is next level, wow",0.89
381,7381,Some effort but not memorable,0.49
382,7382,Production felt so cheap,0.12
383,7383,Neutral on this topic,0.42
384,7384,"This was so clean, respect",0.97
385,7385,"Unwatchable, I had to scroll",0.04
386,7386,Lowkey the best thing on my FYP today,0.87
387,7387,"Super basic, nothing new",0.26
388,7388,"Meh, it’s fine I guess",0.56
389,7389,This was kinda mid ngl,0.33
390,7390,"Painful edit, not it",0.12
391,7391,Okay-ish but kinda bland,0.44
392,7392,"Painful edit, not it",0.16
393,7393,"This was so clean, respect",0.82
394,7394,This was kinda mid ngl,0.25
395,7395,Bro thought he ate,0.27
396,7396,"The audio was rough, couldn’t listen",0.11
397,7397,Couldn’t finish this one,0.2
398,7398,"Unwatchable, I had to scroll",0.2
399,7399,"Painful edit, not it",0.16
400,7400,"Meh, it’s fine I guess",0.57
401,7401,"Loved every second, pure vibes",0.88
402,7402,"Not bad, not great either",0.54
403,7403,"Unwatchable, I had to scroll",0.17
404,7404,"Not bad, not great either",0.55
405,7405,"The audio was rough, couldn’t listen",0.17
406,7406,Lowkey the best thing on my FYP today,0.81
407,7407,"This was so clean, respect",0.86
408,7408,"This was so clean, respect",0.94
409,7409,"This actually ate, no crumbs",0.93
410,7410,"Loved every second, pure vibes",0.9
411,7411,"Average content, nothing special",0.57
412,7412,"Highkey useful, tysm",0.71
413,7413,"Painful edit, not it",0.05
414,7414,"Average content, nothing special",0.43
415,7415,"This is next level, wow",0.85
416,7416,Pretty mid but not terrible,0.53
417,7417,"Not bad, not great either",0.42
418,7418,Pretty mid but not terrible,0.49
419,7419,"Painful edit, not it",0.11
420,7420,"It’s okay, seen better",0.49
421,7421,"This was so clean, respect",0.84
422,7422,"Meh, it’s fine I guess",0.5
423,7423,"Highkey useful, tysm",0.66
424,7424,"Solid attempt, could improve",0.44
425,7425,Lowkey the best thing on my FYP today,0.92
426,7426,"The audio was rough, couldn’t listen",0.03
427,7427,The editing was on point fr,0.65
428,7428,The editing was on point fr,0.79
429,7429,Bro thought he ate,0.38
430,7430,"Solid attempt, could improve",0.58
431,7431,"Painful edit, not it",0.0
432,7432,This was kinda mid ngl,0.28
433,7433,Some effort but not memorable,0.47
434,7434,Okay-ish but kinda bland,0.52
435,7435,"Unwatchable, I had to scroll",0.13
436,7436,"Unwatchable, I had to scroll",0.09
437,7437,The editing was on point fr,0.75
438,7438,"Real talent, keep posting",0.87
439,7439,Worst thing on my FYP today,0.11
440,7440,"Not bad, not great either",0.47
441,7441,"It’s okay, seen better",0.53
442,7442,"Painful edit, not it",0.04
443,7443,"This was so clean, respect",0.89
444,7444,"Clear explanation, easy to follow",0.68
445,7445,"It’s okay, seen better",0.49
446,7446,"Unwatchable, I had to scroll",0.11
447,7447,This was kinda mid ngl,0.34
448,7448,"Clear explanation, easy to follow",0.79
449,7449,"Highkey useful, tysm",0.76
450,7450,"Highkey useful, tysm",0.63
451,7451,Okay-ish but kinda bland,0.53
452,7452,"The audio was rough, couldn’t listen",0.01
453,7453,"Felt dragged out, lost me halfway",0.26
454,7454,This was kinda mid ngl,0.32
455,7455,Neutral on this topic,0.5
456,7456,Couldn’t finish this one,0.11
457,7457,"It’s okay, seen better",0.56
458,7458,Okay-ish but kinda bland,0.42
459,7459,Lowkey the best thing on my FYP today,0.98
460,7460,"Highkey useful, tysm",0.6
461,7461,"The audio was rough, couldn’t listen",0.12
462,7462,Worst thing on my FYP today,0.03
463,7463,"Painful edit, not it",0.05
464,7464,Bro thought he ate,0.29
465,7465,Bro thought he ate,0.24
466,7466,Couldn’t finish this one,0.17
467,7467,"This actually ate, no crumbs",0.96
468,7468,"Clear explanation, easy to follow",0.74
469,7469,"Meh, it’s fine I guess",0.47
470,7470,Couldn’t finish this one,0.05
471,7471,Pretty mid but not terrible,0.59
472,7472,"Painful edit, not it",0.09
473,7473,"Real talent, keep posting",0.91
474,7474,"Loved every second, pure vibes",0.81
475,7475,"Super basic, nothing new",0.37
476,7476,"Meh, it’s fine I guess",0.57
477,7477,"Meh, it’s fine I guess",0.52
478,7478,"Alright I guess, nothing new",0.54
479,7479,Bro thought he ate,0.35
480,7480,Bro thought he ate,0.23
481,7481,Some effort but not memorable,0.44
482,7482,Worst thing on my FYP today,0.1
483,7483,"Loved every second, pure vibes",0.87
484,7484,"Solid attempt, could improve",0.44
485,7485,"Clear explanation, easy to follow",0.77
486,7486,"Highkey useful, tysm",0.62
487,7487,"This was so clean, respect",0.84
488,7488,"It’s okay, seen better",0.48
489,7489,"Solid attempt, could improve",0.52
490,7490,"Not bad, not great either",0.51
491,7491,Worst thing on my FYP today,0.07
492,7492,"This is next level, wow",0.98
493,7493,Pretty mid but not terrible,0.5
494,7494,"Clear explanation, easy to follow",0.67
495,7495,"Average content, nothing special",0.58
496,7496,"Loved every second, pure vibes",0.89
497,7497,Neutral on this topic,0.45
498,7498,This was kinda mid ngl,0.39
499,7499,"Clear explanation, easy to follow",0.62
500,7500,"Highkey useful, tysm",0.73
501,7501,"This was so clean, respect",0.89
